# ==============================================================================
# AMPL Data File: Instance A.1
# SCC-VRP with 4 Carriers and 8 Customers
# ==============================================================================
set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;

set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;

set o := o1 o2 o3 o4 ;

param Q := 150 ;

param dist:
        o1      o2      o3      o4       1       2       3       4       5       6       7       8 :=
o1       0   80.42   67.06   13.98   26.24   86.14    45.2   54.88   96.97    7.09    37.2   60.59
o2   80.42       0   80.88   72.26  106.02    36.7   45.02   82.49   28.69   78.08   76.04   68.74
o3   67.06   80.88       0   53.73   75.97   56.13   42.69   14.03   75.07   59.97   30.06   12.42
o4   13.98   72.26   53.73       0    34.6   73.71   32.82   42.27   85.88    7.58   24.49   46.71
1    26.24  106.02   75.97    34.6       0  107.63   67.14   62.06  120.44   28.01   47.57   73.49
2    86.14    36.7   56.13   73.71  107.63       0   40.98   63.31   19.14   81.12   65.13    46.4
3     45.2   45.02   42.69   32.82   67.14   40.98       0   39.69   53.49   40.16   31.03   30.66
4    54.88   82.49   14.03   42.27   62.06   63.31   39.69       0   81.46    47.8    17.8   17.13
5    96.97   28.69   75.07   85.88  120.44   19.14   53.49   81.46       0   92.89   81.25   64.86
6     7.09   78.08   59.97    7.58   28.01   81.12   40.16    47.8   92.89       0   30.11   53.67
7     37.2   76.04   30.06   24.49   47.57   65.13   31.03    17.8   81.25   30.11       0   25.92
8    60.59   68.74   12.42   46.71   73.49    46.4   30.66   17.13   64.86   53.67   25.92       0 ;

param trav_time:
        o1      o2      o3      o4       1       2       3       4       5       6       7       8 :=
o1       0  108.12   75.28   17.77   35.89    92.3   38.58   44.47   78.39    6.64   30.29   70.96
o2  117.43       0   79.37   65.58   99.84   40.19   56.58  106.52    29.4   69.78  107.88   67.29
o3   81.53  117.58       0   52.25  105.62   83.74   49.36   15.74   81.28   78.57   34.97   10.14
o4    16.6  106.38   66.39       0   35.03  109.65    42.1   58.04  108.41    7.99   32.46    55.2
1     23.8  142.93   104.1   39.32       0  120.41   77.54   62.52  178.19   40.18   68.15   64.17
2    80.83   37.15   60.66  104.22  149.66       0   37.06   69.22   26.23  101.22   94.56   54.57
3    57.76   60.74   37.67   42.28   89.06   48.63       0   50.89   48.23   50.55   39.04   37.36
4    47.25   90.45   12.34   41.07   74.75   70.55    48.1       0   68.43   60.37   19.25   25.14
5   125.22   33.41   70.81   73.49  105.41   27.85   51.69   87.15       0   84.73   87.29    56.6
6     7.05   95.12   87.76     6.5   38.44   94.05   46.17   44.81  117.94       0   37.88   45.24
7    52.34   70.65    30.7   36.42   49.09   72.81   25.38    20.2   94.86    24.6       0    22.4
8    86.49   56.65   14.85   41.78  101.36   55.21   37.51    21.8   91.42   57.78   25.75       0 
;

param d:
     1   2   3   4 :=
1   10   0   0   0
2    0   0   6   0
3    0   0  12   0
4    0  11  19  13
5   16   0  18   0
6    6  19   9   6
7    0   0  14  17
8    0   0  16   0 
;
