set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    15.67    94.98    30.78     88.6    93.88    52.95    57.87   103.08    68.05 
o2      15.67        0    84.35    20.33    73.45    81.91    43.58    52.13    87.42    52.81 
o3      94.98    84.35        0     94.5    48.36    11.07    42.14    43.34    76.71    51.74 
o4      30.78    20.33     94.5        0    72.48    89.88    57.52    68.84    79.62    52.62 
1        88.6    73.45    48.36    72.48        0    37.68    52.53    65.52    28.92    20.66 
2       93.88    81.91    11.07    89.88    37.68        0    42.43    47.33    65.77     43.4 
3       52.95    43.58    42.14    57.52    52.53    42.43        0    15.22    78.05     38.5 
4       57.87    52.13    43.34    68.84    65.52    47.33    15.22        0    92.22    53.29 
5      103.08    87.42    76.71    79.62    28.92    65.77    78.05    92.22        0    40.15 
6       68.05    52.81    51.74    52.62    20.66     43.4     38.5    53.29    40.15        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    22.19   135.37    42.59    82.22   119.39    67.85    47.44       86    64.82 
o2       16.8        0   100.68    25.96    61.44    70.34    46.15    65.84   106.55    50.68 
o3      134.4   112.24        0    89.74    64.96    11.18    50.09    40.87    88.07    43.72 
o4      34.45    24.62    90.58        0     96.8    84.63    71.63    92.12    76.05    51.91 
1       90.57    69.68    42.89   102.23        0    44.24    71.63    62.13    26.76    22.88 
2       94.15   110.37     8.92   116.44    51.73        0    56.93    56.92    65.59    53.43 
3        57.3    50.87    55.89    80.08    44.12    34.37        0    18.32   114.08    40.32 
4        66.6    47.33    64.86    56.37    86.84    52.41    20.67        0    117.5    68.48 
5       98.46     81.9    67.36    64.61    29.81    65.45    80.53   123.11        0    54.37 
6       89.93    44.89     75.6    56.03    27.64    35.73    41.21    73.84    51.24        0 
;

param d:       1    2    3    4 :=
1       0    0   13    0 
2       0   15    0    0 
3      14    0    0   11 
4       0    0   10    8 
5       0    0   10   16 
6       0   12    0    0 
;
