set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    17.64    55.47    23.74    27.07    24.52    68.33    26.72     39.6    59.29 
o2      17.64        0    37.84    41.17    44.49     7.93    66.72    32.69    49.83    41.72 
o3      55.47    37.84        0     78.9    82.11    31.83    77.43    62.95     80.6     6.06 
o4      23.74    41.17     78.9        0    10.95    47.31    81.12    30.99    41.06    82.39 
1       27.07    44.49    82.11    10.95        0    51.59    73.85    40.98    31.57    86.19 
2       24.52     7.93    31.83    47.31    51.59        0    71.86    33.57    57.65    35.07 
3       68.33    66.72    77.43    81.12    73.85    71.86        0    94.76    44.59    83.46 
4       26.72    32.69    62.95    30.99    40.98    33.57    94.76        0     64.4    64.44 
5        39.6    49.83     80.6    41.06    31.57    57.65    44.59     64.4        0    86.05 
6       59.29    41.72     6.06    82.39    86.19    35.07    83.46    64.44    86.05        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    25.34    67.78    34.93    37.42    36.63    76.84    32.22    46.59     56.3 
o2      22.48        0    50.49     39.6    62.79     9.95    88.15    32.91       58    60.85 
o3      57.57    45.99        0    95.18     76.6    30.45    73.04    82.11   120.86     7.39 
o4      22.09    57.57   108.32        0    13.13    50.73    72.92    44.74    51.62   102.68 
1       32.16    55.09   115.42    12.06        0    65.36    97.41    40.32    38.16    82.88 
2       21.19     9.39    36.17    54.83    60.93        0    78.64    40.11     77.4    41.98 
3       79.81    63.41    67.76   106.08    60.83    91.04        0   109.26    51.44   106.75 
4        39.3     26.3    92.93    39.12    53.66    28.46    88.35        0    52.21    77.29 
5       43.24    65.27    109.5    35.75    29.29    65.84    42.09    88.36        0   115.86 
6        63.4    46.67     7.24    71.91    93.89    35.58    117.6    62.43   110.16        0 
;

param d:       1    2    3    4 :=
1      20    0   18   20 
2       0   14    0    0 
3       7    0    0    0 
4       0    0    0   14 
5       0   10    8    0 
6      14    0    0    0 
;
