set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    89.65   100.49    59.07    26.35    64.97    79.95    86.62    54.69    15.03 
o2      89.65        0     11.9    77.93    69.82    43.39    82.53    53.37    63.43   103.16 
o3     100.49     11.9        0     83.4    81.45    48.96    85.19    53.61    69.63   113.64 
o4      59.07    77.93     83.4        0    66.47    34.62    20.92    40.37     15.1     61.7 
1       26.35    69.82    81.45    66.47        0    57.67    85.56    81.69    56.31    41.31 
2       64.97    43.39    48.96    34.62    57.67        0    41.17    24.13    20.72     74.6 
3       79.95    82.53    85.19    20.92    85.56    41.17        0    33.43    29.65    82.39 
4       86.62    53.37    53.61    40.37    81.69    24.13    33.43        0    33.78    94.35 
5       54.69    63.43    69.63     15.1    56.31    20.72    29.65    33.78        0    60.94 
6       15.03   103.16   113.64     61.7    41.31     74.6    82.39    94.35    60.94        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   115.46    117.1     70.4    27.61    89.38    98.38   112.25    55.44    19.83 
o2      90.09        0    16.61    97.37    92.84    50.82   105.34    45.36    57.95   112.61 
o3     148.38    11.59        0    79.18    98.49    61.63     68.2    66.32    67.89   153.92 
o4      51.72   113.52   115.64        0    70.93    46.28    24.03    39.25    14.36    52.46 
1       39.41    74.99   113.78    62.63        0    71.26    77.08    116.4    81.63    58.68 
2       79.49     53.1    49.59    35.12    84.25        0    39.66    24.03    27.06    93.26 
3      109.76     79.1   114.94    19.56    72.09    57.64        0     46.4    23.93     72.9 
4      111.94    48.17    52.32    46.11   107.59    29.28    47.63        0     31.1   101.41 
5       48.86    79.44    68.97    19.01    49.34    22.18    39.92    43.89        0    80.14 
6       22.08   131.31   116.05    90.18    60.89     72.3   108.59   108.24    60.32        0 
;

param d:       1    2    3    4 :=
1       0    0    0    8 
2      19    0    0    0 
3      18    0    0    0 
4       9   10    0    0 
5      20    0   20   17 
6       0   18    0    0 
;
