set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    21.34    78.45    80.89    49.38    62.42    24.35     54.8    13.87    62.99 
o2      21.34        0    62.56    59.74    28.07    42.63    13.49    35.65    27.03    46.07 
o3      78.45    62.56        0    58.36    46.73    65.91    54.14    66.99    88.72    16.74 
o4      80.89    59.74    58.36        0    32.96    23.27    64.21    30.83    82.43    49.49 
1       49.38    28.07    46.73    32.96        0    23.41    31.26    21.36    53.61    31.03 
2       62.42    42.63    65.91    23.27    23.41        0    50.96     8.11    61.56    52.14 
3       24.35    13.49    54.14    64.21    31.26    50.96        0    45.13    35.12    38.67 
4        54.8    35.65    66.99    30.83    21.36     8.11    45.13        0     53.5    52.04 
5       13.87    27.03    88.72    82.43    53.61    61.56    35.12     53.5        0    72.56 
6       62.99    46.07    16.74    49.49    31.03    52.14    38.67    52.04    72.56        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    29.94    82.45   112.21     72.2    62.11    22.88    81.21    13.24    58.35 
o2      22.34        0    61.06    70.69    39.62    43.98    13.76    32.67       32    46.88 
o3      88.27    50.57        0    74.11    51.59    91.96    68.14    94.52   114.39    21.46 
o4      71.17    84.99    48.35        0    47.99    20.14    91.94    34.85     83.9    60.24 
1       62.85    38.07    39.03    48.89        0    28.83    30.79    17.65    57.89    33.41 
2       55.36     39.5    87.24    23.33    31.47        0       43    11.48    69.44    54.92 
3       20.64    16.69    79.93    54.76    34.21    67.02        0    61.11    51.68    39.04 
4       45.46    33.71    74.05    40.83    21.74     9.68    60.21        0    47.71    49.24 
5       12.34    34.25   107.73    91.62    68.39    49.57    40.18    56.82        0   106.62 
6       69.52    54.58    23.52    61.66    31.28    63.17    36.08    68.52    92.38        0 
;

param d:       1    2    3    4 :=
1       0    6    0    0 
2       0   19   20    0 
3       6    0    0    0 
4       0    0    0   15 
5       0   14    0    0 
6       0   15    0    0 
;
