set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    35.27    22.16    52.45    30.74    54.46       44    25.19    36.74    36.77 
o2      35.27        0    57.42    45.55    18.51    66.17    76.63    55.39    65.17     7.78 
o3      22.16    57.42        0    66.18     50.7    57.18     26.5    18.71    29.07    58.51 
o4      52.45    45.55    66.18        0    28.72    31.13    69.33    51.25    88.96    38.09 
1       30.74    18.51     50.7    28.72        0    47.77    64.62    43.12    66.59    12.87 
2       54.46    66.17    57.18    31.13    47.77        0    48.39    38.53    85.34    60.39 
3          44    76.63     26.5    69.33    64.62    48.39        0    21.55    52.26    75.47 
4       25.19    55.39    18.71    51.25    43.12    38.53    21.55        0    47.45    53.94 
5       36.74    65.17    29.07    88.96    66.59    85.34    52.26    47.45        0    69.47 
6       36.77     7.78    58.51    38.09    12.87    60.39    75.47    53.94    69.47        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    34.72    19.61     69.2    35.99    66.58    42.66    29.06    51.19    50.25 
o2      31.49        0    63.99    51.46    26.57    80.99    97.99    80.43    67.73     6.64 
o3      18.93    63.12        0    73.86    42.05    76.74    28.65    22.55    23.45    80.21 
o4      44.25    62.27    69.32        0    31.58    42.32    63.09    54.27    92.13    33.76 
1       38.66    17.07    57.75    23.65        0     51.7    66.15    52.17     88.7    15.73 
2       58.21    64.09    53.58    36.46    69.55        0    66.05    44.72    74.94     59.7 
3       50.18    69.79    29.53    65.73    70.81    62.19        0    28.45    43.25    71.58 
4        35.8    82.12    26.36     73.8     61.8    34.91    25.81        0    63.02    73.78 
5       30.44    95.29    41.29   132.53    60.02    93.55     59.7    53.12        0    88.09 
6       36.13    10.24    85.85    34.26    16.25     51.6    67.15    43.32    99.62        0 
;

param d:       1    2    3    4 :=
1      11   18    0    7 
2       5    0    0    0 
3       0   11    0    9 
4      10    0    0    0 
5      11   10    0    0 
6       0    0   16    0 
;
