set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    89.44    23.11     60.9    35.26    13.34    54.66     35.5    71.51    40.93 
o2      89.44        0   110.82    62.12    70.73    76.43    37.46    54.29    17.93    50.52 
o3      23.11   110.82        0     83.1    57.26    34.73    77.32    56.55    92.97    63.74 
o4       60.9    62.12     83.1        0    25.83    54.51    32.87    46.88    50.51       33 
1       35.26    70.73    57.26    25.83        0    30.73    33.56    32.12     54.5    23.15 
2       13.34    76.43    34.73    54.51    30.73        0    42.72    22.26    58.51    29.42 
3       54.66    37.46    77.32    32.87    33.56    42.72        0    23.45    20.97    13.82 
4        35.5    54.29    56.55    46.88    32.12    22.26    23.45        0    36.42    14.09 
5       71.51    17.93    92.97    50.51     54.5    58.51    20.97    36.42        0     33.1 
6       40.93    50.52    63.74       33    23.15    29.42    13.82    14.09     33.1        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   122.06    27.83    82.93    33.84    16.11    71.64    35.71    78.27    55.26 
o2     106.68        0     99.3    66.25   103.34   103.24    34.05    60.91    18.71    44.65 
o3      20.66   159.01        0   114.68    85.38    38.57    67.08    48.33    86.72    79.63 
o4      73.27    59.41   103.64        0    24.44    58.24    32.42    54.89    72.12    28.28 
1       33.16    90.29    80.72     28.1        0    33.15    41.32    28.58    47.79    26.52 
2       16.62    114.6    34.11    47.23     27.7        0    61.26    29.42    84.73    27.81 
3       62.58    35.48   112.09    32.01    46.46    61.17        0    26.36    26.85    16.23 
4       49.51    62.18    49.12    66.71    34.72    31.43       26        0    49.26    19.22 
5       61.04    15.98   130.91    69.16    81.55    62.35    26.71    41.05        0    47.83 
6       36.47    44.54     74.4     29.4    25.05    43.56    18.61     12.9    37.59        0 
;

param d:       1    2    3    4 :=
1       9   16   13    0 
2      15    0    0    0 
3       0    0    0    8 
4       0   15    0    0 
5       0    5    0    0 
6      20   11    5    0 
;
