set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    47.69     9.14    70.52    71.72    48.25     18.2    34.41    37.79    53.11 
o2      47.69        0    40.51    33.41    36.47    22.93    49.62    16.19    78.56    31.93 
o3       9.14    40.51        0    66.28    67.89     39.2     24.1    26.12    46.77    43.98 
o4      70.52    33.41    66.28        0     3.74    55.72    63.71    47.98     90.2    64.27 
1       71.72    36.47    67.89     3.74        0       59       64    50.61    89.88    67.63 
2       48.25    22.93     39.2    55.72       59        0    57.82    17.26    84.87     9.15 
3        18.2    49.62     24.1    63.71       64    57.82        0     41.2    28.97    64.56 
4       34.41    16.19    26.12    47.98    50.61    17.26     41.2        0    69.12    25.46 
5       37.79    78.56    46.77     90.2    89.88    84.87    28.97    69.12        0    90.54 
6       53.11    31.93    43.98    64.27    67.63     9.15    64.56    25.46    90.54        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    66.79    12.19    75.77    96.54     55.4    25.88    30.04    36.37    52.78 
o2      67.16        0    41.96    39.35    41.77    22.08     62.5    23.63   106.73    31.04 
o3      13.06    46.72        0    62.78    66.74    33.63       27    27.43     51.6    42.08 
o4      70.23    48.22    56.23        0     3.36    47.37    68.81    65.42       85    54.38 
1       74.01     39.3   101.56     3.48        0    81.43    68.36    72.98   128.45    95.17 
2       52.92    19.16     34.7    71.16    51.71        0    59.25    13.84   122.73     9.34 
3       19.32    59.83    31.96    93.81    72.35     64.5        0    49.37    37.44    90.66 
4       48.46     17.9    22.19    41.22    49.99    14.51    57.95        0    57.33    28.85 
5       32.79    63.46    62.37    90.14   104.01   117.66     23.4    57.53        0   123.45 
6       62.99     42.6    48.51    61.02    98.11    13.62    77.86    32.57   135.65        0 
;

param d:       1    2    3    4 :=
1       6   14   17   13 
2       0    0   13   15 
3       0   11    0   18 
4       0   13    8    0 
5       0    0    0   19 
6       0    0    0    9 
;
