set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    82.48    16.63    45.39    44.49    71.23    57.49    51.42     78.2    29.68 
o2      82.48        0    96.46    96.44    45.55    53.99    89.66   104.67    23.68     57.4 
o3      16.63    96.46        0     56.1    60.86    87.82    70.79    60.48    94.07    46.17 
o4      45.39    96.44     56.1        0    51.18    56.98    18.63     8.38    80.86    43.47 
1       44.49    45.55    60.86    51.18        0    31.17    47.32     59.5    34.53    14.88 
2       71.23    53.99    87.82    56.98    31.17        0    42.97    63.64    31.33    43.02 
3       57.49    89.66    70.79    18.63    47.32    42.97        0    22.38    70.88    45.18 
4       51.42   104.67    60.48     8.38     59.5    63.64    22.38        0    88.65    51.77 
5        78.2    23.68    94.07    80.86    34.53    31.33    70.88    88.65        0    49.19 
6       29.68     57.4    46.17    43.47    14.88    43.02    45.18    51.77    49.19        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    67.75    15.02    46.64    50.83    85.54    62.71    59.56    98.49    39.96 
o2     112.56        0   126.93    98.74     46.7    75.62   100.17    122.2    29.69    53.73 
o3      13.88   114.27        0    57.25    76.91   125.76    95.96    72.85    79.03    37.11 
o4      66.16   128.12    64.57        0     64.1    70.42     16.2    10.46    86.79    61.87 
1        65.8    59.36    75.27    61.12        0    30.27    42.47    55.99     44.4    21.12 
2       98.25    72.59    86.11    78.32    41.04        0    45.56    52.57    46.24    59.59 
3       65.07   117.88    65.06    25.92    66.14    55.51        0    32.44    94.94    50.37 
4       51.59   139.42    54.94     9.07    89.18    86.84    20.15        0   121.88     67.4 
5      101.71    27.42    96.72    76.83    51.44    27.19    69.66   107.55        0    50.01 
6       36.63    75.06    37.54    56.23    19.78    60.39    57.13    65.56    51.89        0 
;

param d:       1    2    3    4 :=
1       0    0    8    0 
2       6    0    0    0 
3       0   17    0   12 
4       0    0   17    0 
5       0   19    0    0 
6       0    0    0   12 
;
