set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    27.84    51.49    12.92    70.79    39.79    51.99    59.38    50.06    62.13 
o2      27.84        0    46.38    40.76    69.39    61.23    63.23    37.03    26.05    82.91 
o3      51.49    46.38        0    58.07    23.14     50.2    32.63    35.04    36.91     63.1 
o4      12.92    40.76    58.07        0    74.65    32.87    50.86    70.91    62.17    54.32 
1       70.79    69.39    23.14    74.65        0     56.7    31.99    54.06    58.52    61.42 
2       39.79    61.23     50.2    32.87     56.7        0     25.5    77.65    72.88    22.38 
3       51.99    63.23    32.63    50.86    31.99     25.5        0     66.3    65.17    31.07 
4       59.38    37.03    35.04    70.91    54.06    77.65     66.3        0    11.25    94.89 
5       50.06    26.05    36.91    62.17    58.52    72.88    65.17    11.25        0    91.77 
6       62.13    82.91     63.1    54.32    61.42    22.38    31.07    94.89    91.77        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    38.45    72.26    16.87    88.45    58.82    62.22    75.31    56.09    81.46 
o2       40.4        0    55.41    51.19     80.4    90.59    77.22     33.6     27.8   108.25 
o3      61.74    51.18        0    83.61    29.24    50.04     31.5    43.83    32.43    57.66 
o4      13.16    58.34    60.44        0    89.08    33.49     62.8    75.37    69.24    66.48 
1       86.36    60.88    30.92    62.63        0    78.93    26.51    65.84    54.23    88.09 
2       32.59    91.11    64.39    29.59    47.28        0     33.2    65.48    95.84    29.69 
3        77.3    88.74     27.9    66.81    30.98    31.34        0     57.2    60.56     26.9 
4       58.69    53.48    49.38    98.88    50.19    90.18    80.17        0    14.01    126.9 
5       47.16    36.91    44.96    49.98    80.01   103.48    57.95     13.3        0   131.07 
6       60.32   103.47    73.62    58.35    58.87    31.26    26.25   111.14   136.33        0 
;

param d:       1    2    3    4 :=
1       0    0   16    0 
2       0   17    0    0 
3      18    0    0    0 
4       0   13    0    0 
5       0   12    8   11 
6       0    0    8    0 
;
