set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    65.67    35.18      9.7    55.32    25.65    27.51    27.66    54.57    89.96 
o2      65.67        0    34.01    58.47     52.4     43.2    46.86    77.17    29.57    62.45 
o3      35.18    34.01        0    26.37     31.8     9.86    29.91    43.18    38.44     60.3 
o4        9.7    58.47    26.37        0    45.85    16.57    26.95    25.11    51.34    80.29 
1       55.32     52.4     31.8    45.85        0    34.67    60.82     44.8    68.35    35.54 
2       25.65     43.2     9.86    16.57    34.67        0    26.71    34.69    42.58    66.66 
3       27.51    46.86    29.91    26.95    60.82    26.71        0    52.06    28.04    89.99 
4       27.66    77.17    43.18    25.11     44.8    34.69    52.06        0    75.51    79.81 
5       54.57    29.57    38.44    51.34    68.35    42.58    28.04    75.51        0    88.22 
6       89.96    62.45     60.3    80.29    35.54    66.66    89.99    79.81    88.22        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    54.78       33    12.32    51.09    22.45    24.59     32.9    43.69   122.22 
o2      84.75        0    27.71       62    57.67    48.92    62.92   105.65    38.72    81.92 
o3      45.06    46.69        0    27.15    34.06     8.53    32.37    48.34    38.66    71.59 
o4      13.57    66.79    35.72        0    48.36    21.17    33.54    30.65    67.99   115.37 
1       75.84    42.38    27.84    37.86        0    34.86    54.19    47.21    84.33    35.42 
2       32.45    38.88    14.24    17.76    40.56        0    30.65    46.98    43.67    58.74 
3       26.22    70.05    37.56    36.83    74.74    21.85        0    77.25    39.14    131.3 
4        23.2    70.82    57.39    30.27    42.94    35.67    42.11        0   100.89    67.94 
5        46.2    41.31    42.95    72.66    72.43    53.46    27.79    76.22        0     93.4 
6       93.11    50.03    58.12   120.23     29.3    70.72    94.56   100.82   109.65        0 
;

param d:       1    2    3    4 :=
1       0   13   17    0 
2       0    0    0    8 
3       7   13    0    0 
4      19    0    0    0 
5       0    0    0   20 
6       0    0   15    7 
;
