set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0     87.3    48.12    12.99   100.48    56.85    79.39    66.37    51.97    78.42 
o2       87.3        0    68.17    74.92    55.64    53.58    70.11    52.83    37.03      8.9 
o3      48.12    68.17        0    38.15    56.45    15.84    31.32    22.76    35.66    60.58 
o4      12.99    74.92    38.15        0    88.15    44.87    68.88    54.42     39.1    66.02 
1      100.48    55.64    56.45    88.15        0     43.8    32.51     34.5    57.11    55.19 
2       56.85    53.58    15.84    44.87     43.8        0    27.19     9.55    25.85     46.6 
3       79.39    70.11    31.32    68.88    32.51    27.19        0    20.29    51.79    65.49 
4       66.37    52.83    22.76    54.42     34.5     9.55    20.29        0    31.59    47.03 
5       51.97    37.03    35.66     39.1    57.11    25.85    51.79    31.59        0     28.3 
6       78.42      8.9    60.58    66.02    55.19     46.6    65.49    47.03     28.3        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    84.24    63.92    16.97    81.63    65.85    82.76    94.77    47.36    110.4 
o2      74.48        0    59.35    99.43    69.71    74.61    68.72    56.97    42.17     8.46 
o3      52.03    95.89        0    37.82    80.91    21.83    25.96    32.65    50.43    74.48 
o4      11.63    69.66     42.7        0   105.22     36.2    98.84    73.23    57.17    84.25 
1      130.46    72.27    74.13   102.11        0    40.75    31.57    49.68       78    82.27 
2       76.73    44.73    13.04    56.33    43.58        0    32.49      8.7    33.05    50.25 
3      109.66    94.36    38.01    67.98     34.8    38.23        0    23.21    62.15    68.77 
4       96.33    58.29    33.65    79.28    33.09    13.03    27.42        0     31.2    54.33 
5       51.09    50.91    36.89    54.04     73.5    23.06    62.81    31.57        0    41.09 
6       84.16    11.83    65.92    56.36    72.71    42.05    63.96    60.11    39.09        0 
;

param d:       1    2    3    4 :=
1       0   18    0    0 
2      12    0    0    0 
3      10    0   17    0 
4      16    0    0    0 
5       0    0    0   13 
6      11    0    0    0 
;
