set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    79.94    70.95    69.32    90.97    59.51    84.75    89.74    79.95    42.14 
o2      79.94        0    66.29    58.13    86.86     86.7    19.32    21.19    26.89    90.42 
o3      70.95    66.29        0     8.19    23.65    28.92    53.15    56.45    42.91    46.06 
o4      69.32    58.13     8.19        0    30.49    34.82     45.1    48.52    34.88    49.45 
1       90.97    86.86    23.65    30.49        0    36.61    71.18    73.43    61.18    58.07 
2       59.51     86.7    28.92    34.82    36.61        0    77.63    81.68    67.85    21.63 
3       84.75    19.32    53.15     45.1    71.18    77.63        0     5.01    10.25    85.76 
4       89.74    21.19    56.45    48.52    73.43    81.68     5.01        0    13.84     90.4 
5       79.95    26.89    42.91    34.88    61.18    67.85    10.25    13.84        0    77.09 
6       42.14    90.42    46.06    49.45    58.07    21.63    85.76     90.4    77.09        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    91.81    86.48    94.39    85.24     70.9   107.05   131.47   102.36    55.18 
o2      75.48        0    87.34    80.84   100.54   109.39    27.01    29.56    26.37    125.3 
o3      72.34    60.13        0    11.11    30.14    43.38    66.79    74.18    43.92    47.04 
o4      57.81    57.83     9.42        0    25.14    35.14    60.36    48.06    45.95    66.45 
1       87.41    76.99    32.92     30.3        0    43.87    70.44    69.68    74.23    52.97 
2       76.84   103.25    29.41    49.19    42.72        0    93.21   101.49    56.13    29.48 
3      104.49    17.09    67.26    48.32   104.71   106.58        0     7.41    12.88   101.77 
4      115.43    31.11    53.94    44.87    66.02    95.59     5.82        0    18.38     86.7 
5       90.99    21.72    41.23    34.83    60.89    94.55    10.44    19.56        0    88.22 
6       40.87    85.87    64.39    43.91    64.43    29.65    73.51    111.5    94.56        0 
;

param d:       1    2    3    4 :=
1       6    0    0    0 
2       0    0    0   19 
3       0    0    7    0 
4       0    0    6   11 
5      13    0    0    0 
6       0    6    0   12 
;
