set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    71.13    98.53    37.74   112.55   107.22    45.59    46.23    36.41    77.15 
o2      71.13        0    95.62    37.36    69.51    64.01    28.94    79.95    35.44    39.89 
o3      98.53    95.62        0    78.29    56.27    55.79    79.57    55.82    95.37    57.26 
o4      37.74    37.36    78.29        0    77.46    71.87     8.61    45.29    17.11    41.06 
1      112.55    69.51    56.27    77.46        0     5.74    72.62    87.51    90.18    36.51 
2      107.22    64.01    55.79    71.87     5.74        0    66.93    83.46    84.46    30.86 
3       45.59    28.94    79.57     8.61    72.62    66.93        0    52.17    17.89    36.17 
4       46.23    79.95    55.82    45.29    87.51    83.46    52.17        0    59.32    60.89 
5       36.41    35.44    95.37    17.11    90.18    84.46    17.89    59.32        0    53.88 
6       77.15    39.89    57.26    41.06    36.51    30.86    36.17    60.89    53.88        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   100.11    96.94    35.35    161.4      154    45.15    52.13    47.91    75.26 
o2       66.1        0   128.36    43.71    58.29    93.53    39.52    70.08    38.09    38.83 
o3     120.21    83.71        0    64.55    78.56    77.19   115.35    71.51   138.98    47.61 
o4         47    49.96   100.01        0    97.66   105.19    11.03    39.67    17.55     58.9 
1      112.78    83.48    75.35    65.78        0      6.8    74.54    103.5   102.12    41.09 
2      115.09    58.15    53.15     70.7     5.96        0    62.02    91.84   108.75    28.66 
3       44.72    29.18    79.42      9.1    68.33    80.07        0    63.26    18.09    42.41 
4       55.64   118.81    73.09    39.36    80.47   117.64    45.23        0    85.34    72.42 
5       36.87    40.41   102.24    20.47   122.96    86.77     17.8    67.91        0    46.73 
6       63.97    50.07    64.14    47.18    42.93    40.53    33.84    90.65    70.02        0 
;

param d:       1    2    3    4 :=
1       6    0   13   15 
2      11   11   16    0 
3       6    0   16   10 
4      19    0    0   17 
5       0    0    0   16 
6       0    0   15    0 
;
