set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    14.99    52.94    59.53    51.61    12.14    32.97    50.49    65.53       15 
o2      14.99        0    37.99    48.94    54.62    27.05    18.45    43.84    51.26     21.4 
o3      52.94    37.99        0    41.68    74.05    65.03    20.67    51.04    17.82    56.13 
o4      59.53    48.94    41.68        0   102.05    68.21     46.1     17.8    58.28    51.53 
1       51.61    54.62    74.05   102.05        0    54.06    57.69    98.45    74.42    66.57 
2       12.14    27.05    65.03    68.21    54.06        0    45.09    56.81    77.59    17.63 
3       32.97    18.45    20.67     46.1    57.69    45.09        0    47.99    32.82    38.89 
4       50.49    43.84    51.04     17.8    98.45    56.81    47.99        0    68.78    39.23 
5       65.53    51.26    17.82    58.28    74.42    77.59    32.82    68.78        0    71.31 
6          15     21.4    56.13    51.53    66.57    17.63    38.89    39.23    71.31        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    21.81    71.31    67.71    48.61     16.9     48.2    67.65    96.99    19.94 
o2      20.62        0    48.27    71.11    66.11    23.62    21.28    35.55    60.37    18.39 
o3      52.23    52.35        0    55.09    92.85    97.53    25.68    70.68    17.31    56.24 
o4      69.28    69.72    43.98        0    88.09    64.33    41.76     19.8    81.28     75.3 
1       60.24    53.77    71.54   113.06        0    81.08    59.11   133.75   110.38    96.76 
2       14.02    31.59    78.99    73.16    79.82        0    41.53    63.98    88.09    18.77 
3       27.47    21.63    30.78    61.84    59.09    51.32        0    48.83    47.75    57.23 
4       48.56    63.73    62.33    23.68   132.19    52.24    55.77        0    99.78    54.64 
5       82.03    54.16    15.89    53.38    60.68    65.25     43.6    92.49        0    75.59 
6       17.39    32.06    59.58    52.25    66.42    19.55    36.68    51.54    75.08        0 
;

param d:       1    2    3    4 :=
1       0    0   18    0 
2       0    0   17   19 
3       0    0   15    0 
4       0    0   18    0 
5      16   14   12    0 
6       0    5    0    0 
;
