set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    56.81     60.2    53.36    11.35    55.13     7.69    69.64    26.26    44.08 
o2      56.81        0    68.12    42.15    64.46    52.95    60.16    14.47    50.16    28.21 
o3       60.2    68.12        0    26.67    71.01    15.59    54.65    70.24    80.47    80.71 
o4      53.36    42.15    26.67        0    64.65    11.09    50.92    43.59    65.95     59.1 
1       11.35    64.46    71.01    64.65        0    66.45    16.55       78    24.05    47.23 
2       55.13    52.95    15.59    11.09    66.45        0    51.22    54.65    71.47    67.88 
3        7.69    60.16    54.65    50.92    16.55    51.22        0    72.17    33.93    50.33 
4       69.64    14.47    70.24    43.59       78    54.65    72.17        0    64.62    42.18 
5       26.26    50.16    80.47    65.95    24.05    71.47    33.93    64.62        0    26.23 
6       44.08    28.21    80.71     59.1    47.23    67.88    50.33    42.18    26.23        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    70.28    49.37    44.91    15.12    61.82     7.79    83.05     33.5    57.44 
o2      55.88        0    91.95    39.27    61.02    65.09       74    19.71    72.58    36.55 
o3      84.27    59.08        0    29.68    70.21    22.04    75.18   103.05    79.78   106.86 
o4      62.91    48.13    34.61        0    80.56    12.71    53.74    59.34    76.67    74.97 
1       16.99    93.88    63.63    77.46        0    77.55    14.26    63.58    31.66    38.75 
2       65.34    54.09    21.57    12.91    79.96        0    66.32    45.05    70.39    60.48 
3         8.3    88.99    70.81    55.74    16.09    54.93        0    97.87    50.82    52.56 
4       83.55    14.77    58.07    36.97    89.57    64.32     60.6        0    69.58     39.4 
5       28.55    47.47   109.58    73.87    28.27    58.19    38.39    83.59        0    27.52 
6       63.53     30.7    95.81    68.53     39.3    86.09    40.52    37.36    29.57        0 
;

param d:       1    2    3    4 :=
1       0    0    0   10 
2      19    0    0    0 
3      14    0    0    0 
4       0    0   17    0 
5       0    0   17    0 
6       8   14    0    0 
;
