set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    39.47    40.24    49.35    11.21    23.18    21.63    23.42    61.78    61.78 
o2      39.47        0    19.61    24.39    42.97    26.46    60.05    47.24    96.95    87.87 
o3      40.24    19.61        0     9.13     48.1    18.19     61.8    56.36    87.78    73.91 
o4      49.35    24.39     9.13        0    57.18    26.96    70.87    65.17    94.64    78.73 
1       11.21    42.97     48.1    57.18        0    32.65    18.16    12.36    67.09     70.8 
2       23.18    26.46    18.19    26.96    32.65        0    44.27    42.93    71.48    61.49 
3       21.63    60.05     61.8    70.87    18.16    44.27        0    23.84     53.1    63.14 
4       23.42    47.24    56.36    65.17    12.36    42.93    23.84        0    76.38    82.47 
5       61.78    96.95    87.78    94.64    67.09    71.48     53.1    76.38        0    28.68 
6       61.78    87.87    73.91    78.73     70.8    61.49    63.14    82.47    28.68        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    40.65    33.38    71.71    16.33    32.79    29.57    30.26    78.67    65.95 
o2      33.96        0    27.83    34.92    36.19    26.83     57.3    51.48   142.85     93.5 
o3      54.82    19.79        0     7.48    68.14    17.69    77.13    69.71   110.11    59.73 
o4      63.49    21.59     10.9        0     71.9    33.22    89.43    53.24   133.43    70.43 
1       16.14    52.55    44.67    60.78        0    28.52    19.81     12.5    84.01    73.42 
2        22.7    22.18    25.31    32.44    28.16        0     42.2    48.19    57.87    60.93 
3       32.34    61.05       63    70.04    17.63     39.8        0     22.4    47.93    71.55 
4       30.58       59    70.73    88.52    10.84     35.8    31.31        0    96.94   119.93 
5       57.19    78.38   122.09   101.26    83.69     67.5    62.95   110.57        0    25.54 
6       77.14   107.01    70.22    109.8   101.39    77.81    90.62    66.27    37.63        0 
;

param d:       1    2    3    4 :=
1       0    0   10    0 
2       0   17    0    0 
3       0    0   12    0 
4       0    0    8   19 
5      12    0    0    0 
6       0    0    5    0 
;
