set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    96.82    75.27    80.71    91.62    81.79    44.65   103.45    56.33   102.02 
o2      96.82        0    74.49    19.69     6.64    57.71    86.09    21.52    60.27    57.86 
o3      75.27    74.49        0    74.23    68.03    18.78    33.47    63.51    89.63    35.86 
o4      80.71    19.69    74.23        0    18.35    60.65    77.81    37.87    40.59    67.09 
1       91.62     6.64    68.03    18.35        0    51.53    79.55    19.64    58.31    53.02 
2       81.79    57.71    18.78    60.65    51.53        0     46.2    44.97    83.46     20.7 
3       44.65    86.09    33.47    77.81    79.55     46.2        0    82.98    76.57    66.62 
4      103.45    21.52    63.51    37.87    19.64    44.97    82.98        0    76.92    39.16 
5       56.33    60.27    89.63    40.59    58.31    83.46    76.57    76.92        0    97.17 
6      102.02    57.86    35.86    67.09    53.02     20.7    66.62    39.16    97.17        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    88.66    75.81    98.54    99.05    94.09    51.97   113.68    50.81    89.58 
o2      97.92        0   105.78     29.3     8.66    72.12   106.67    21.15    61.19    47.48 
o3      92.59    65.44        0    92.21    66.56    18.33    34.98    70.78    86.89     35.1 
o4      91.46    27.58     93.4        0    26.65    80.32   111.66    30.69    36.58     65.8 
1      108.35     6.44    98.69    16.98        0    68.56    88.02    28.96    49.32    77.51 
2          89     84.2    16.49       83    63.84        0     39.1    65.12   111.51    17.87 
3       62.71    75.46    32.29    84.82    87.08    69.25        0    78.52    66.44    75.78 
4      125.34     20.6    67.93     55.2    25.15    45.73   121.36        0    66.45    32.17 
5       60.02    86.76     96.8    33.44    82.92   111.53    87.76   108.46        0   113.31 
6      137.27    60.28    35.66    81.55    46.08    23.53    73.47    33.46   104.67        0 
;

param d:       1    2    3    4 :=
1      19    7   19    0 
2       0    0   16    0 
3      17    0   16    0 
4       0   20   10    0 
5       0    0    6   10 
6       0   20    0    0 
;
