set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   117.19   106.61    73.15    96.72    52.86    90.52    88.09    68.81    93.95 
o2     117.19        0    26.22    46.31    40.87    76.27    28.35    81.64    81.29    37.95 
o3     106.61    26.22        0    46.64    55.92    76.49    20.02    56.19    58.63     51.3 
o4      73.15    46.31    46.64        0    27.96    30.67    26.62    73.14    61.84     23.5 
1       96.72    40.87    55.92    27.96        0    45.97    40.17    97.14     88.3     5.26 
2       52.86    76.27    76.49    30.67    45.97        0    56.59    89.61    73.37    44.42 
3       90.52    28.35    20.02    26.62    40.17    56.59        0    59.27    54.94    35.05 
4       88.09    81.64    56.19    73.14    97.14    89.61    59.27        0    19.38    91.89 
5       68.81    81.29    58.63    61.84     88.3    73.37    54.94    19.38        0     83.2 
6       93.95    37.95     51.3     23.5     5.26    44.42    35.05    91.89     83.2        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   158.05   151.83    92.13    136.3    44.42     97.8    94.36    58.98    76.03 
o2     114.71        0    37.33    61.18    51.46    96.49    40.68     74.6   101.91     48.3 
o3      146.6    30.04        0    60.87     79.1   101.76    23.12    53.44    64.76    66.14 
o4      96.75    41.09    45.41        0    24.71    44.36    24.64    72.94     81.8    29.99 
1       92.12    55.11    67.85    23.41        0    53.77    41.12   133.08   116.71     4.23 
2       65.72    75.58    86.67     35.7    58.87        0    50.57    85.54    71.14    59.06 
3      117.56    24.43    22.78    26.45    43.79    54.01        0    79.47    58.48     52.3 
4        77.8    86.69    81.19    96.15   133.24   105.54     66.1        0    28.97   124.62 
5       82.05    73.79    57.63    58.92   119.13    96.33    80.57    24.24        0    70.51 
6      124.54    32.85    42.45    33.96     6.82    59.74    47.91     81.5   107.04        0 
;

param d:       1    2    3    4 :=
1       0    0   18   19 
2      16    0   19   13 
3       5    6   11    0 
4       0    8    0    0 
5      11   17    0    0 
6       0   11    0    0 
;
