set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    23.97    26.62    77.52    39.32    41.77    54.58     6.48    61.51    75.25 
o2      23.97        0    50.59    92.69    19.74     42.3    44.58    17.69    59.84    93.42 
o3      26.62    50.59        0    66.95    64.61    55.12    73.63    32.98    73.13       60 
o4      77.52    92.69    66.95        0    92.45    58.53    77.58       80    58.38    14.77 
1       39.32    19.74    64.61    92.45        0    35.17    28.36    32.97    48.07    96.25 
2       41.77     42.3    55.12    58.53    35.17        0    21.87    39.17    19.74    64.59 
3       54.58    44.58    73.63    77.58    28.36    21.87        0    49.85    22.68    85.29 
4        6.48    17.69    32.98       80    32.97    39.17    49.85        0    58.78    78.81 
5       61.51    59.84    73.13    58.38    48.07    19.74    22.68    58.78        0    68.34 
6       75.25    93.42       60    14.77    96.25    64.59    85.29    78.81    68.34        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    28.36    37.49    80.98    52.13    48.01    66.95     5.76    75.68   101.51 
o2      33.45        0    44.46    96.97    28.44    58.56    66.35    23.19    58.86   107.44 
o3      23.77    59.74        0    67.85    80.28    49.81     63.4     27.5   108.36    88.12 
o4      72.52   112.14    68.32        0   105.93    72.97   114.69   105.87    63.68    14.52 
1       41.55    21.52    88.56   106.66        0    30.16    39.34    44.32    67.48    80.15 
2       61.38    55.66    64.07    74.48    52.74        0    17.96    51.89       23    86.72 
3       51.82    58.52    95.91    68.66    28.13    22.92        0    53.44     22.2    73.76 
4        7.08    16.27    35.31    75.37    44.26    32.91    60.29        0    69.63   117.66 
5       56.93    57.05    76.56    66.05    55.35    20.94     25.4    86.38        0    62.68 
6       96.58   108.73    89.33    18.81   115.73    88.95    94.16    90.12    99.51        0 
;

param d:       1    2    3    4 :=
1       0    0   12    0 
2       0    0   16   19 
3       0   16   12    0 
4       0    0    0    6 
5      20   10    0   11 
6      13    0   12   11 
;
