set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    84.35    20.33    73.45    81.91    43.58    52.13    87.42    52.81    41.32    73.16 
o2      84.35        0     94.5    48.36    11.07    42.14    43.34    76.71    51.74    82.41    11.63 
o3      20.33     94.5        0    72.48    89.88    57.52    68.84    79.62    52.62    61.54     84.2 
o4      73.45    48.36    72.48        0    37.68    52.53    65.52    28.92    20.66    94.69     46.7 
1       81.91    11.07    89.88    37.68        0    42.43    47.33    65.77     43.4    85.44    15.82 
2       43.58    42.14    57.52    52.53    42.43        0    15.22    78.05     38.5     44.4    30.55 
3       52.13    43.34    68.84    65.52    47.33    15.22        0    92.22    53.29    39.14    32.32 
4       87.42    76.71    79.62    28.92    65.77    78.05    92.22        0    40.15   116.63    75.62 
5       52.81    51.74    52.62    20.66     43.4     38.5    53.29    40.15        0    76.85     45.4 
6       41.32    82.41    61.54    94.69    85.44     44.4    39.14   116.63    76.85        0    71.17 
7       73.16    11.63     84.2     46.7    15.82    30.55    32.32    75.62     45.4    71.17        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0   107.27    26.05    60.21    68.34    41.51    55.89   104.34    67.44    34.56    62.82 
o2      89.33        0   119.35    58.94    10.62    59.63    57.67    72.84     69.5    83.23    13.82 
o3      19.17   108.49        0    61.25    100.6    69.67    65.99   106.33    49.55    76.64   112.67 
o4      70.15    47.71    74.09        0    35.75    46.59    92.41    33.95    28.17    89.79    43.22 
1       90.71     11.1   121.11    30.35        0    54.97    64.98    88.25     52.2     85.2    19.48 
2       47.16    49.19    76.29    73.13    35.64        0    12.33    93.97    56.27     46.5    35.16 
3       47.33    64.86    56.37    86.84    52.41    20.67        0    117.5    68.48    37.39    30.28 
4       76.77    62.25    82.07    28.78    67.86    104.2   124.88        0    53.06    99.15   110.49 
5       56.23    69.21    43.32    22.11    60.13    49.13    57.58    52.88        0    90.12    41.52 
6       46.93   103.94    59.06    83.37   103.55    65.25    56.19   171.47    81.08        0    73.09 
7      109.74    13.61   110.82       48    22.79    44.69    27.98    84.94    59.14    86.44        0 
;

param d:       1    2    3    4 :=
1       0    0   10    0 
2       0    8   16    9 
3       0   19    0    0 
4       0    0   10    0 
5       0    0   14    0 
6      18    0    6    0 
7       0    0    8    0 
;
