set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    24.69     41.1    29.88    53.97    52.58    32.78    85.71    76.44     89.1    18.99 
o2      24.69        0    64.29    20.95    53.92    72.56    29.24    103.1    69.06   103.58    12.33 
o3       41.1    64.29        0    70.07    60.66    18.49    54.97    51.75    87.52    60.22    60.06 
o4      29.88    20.95    70.07        0    73.78    82.46    49.09   115.43       90   118.07    12.47 
1       53.97    53.92    60.66    73.78        0    53.34    24.75    68.01    26.86    61.83    61.92 
2       52.58    72.56    18.49    82.46    53.34        0    55.65     34.3    79.29    41.77    71.15 
3       32.78    29.24    54.97    49.09    24.75    55.65        0    80.61    43.82    78.36    37.42 
4       85.71    103.1    51.75   115.43    68.01     34.3    80.61        0    88.23    14.78    103.6 
5       76.44    69.06    87.52       90    26.86    79.29    43.82    88.23        0    78.77    79.64 
6        89.1   103.58    60.22   118.07    61.83    41.77    78.36    14.78    78.77        0   105.82 
7       18.99    12.33    60.06    12.47    61.92    71.15    37.42    103.6    79.64   105.82        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     21.4    41.26    29.52    56.51    63.07    44.28   117.11    79.46   131.87    27.34 
o2      28.11        0     96.3     19.3    71.48    63.43     28.8      142    98.31    89.18     11.3 
o3      43.99    89.79        0   100.53    81.27    23.97    50.96    59.52    108.7    53.59    75.24 
o4      33.48    28.55    70.01        0    92.63   110.43    68.01   121.34   134.16   166.55    12.99 
1       63.29    75.65    63.76   102.34        0    77.99    24.63     63.9     39.8       59    57.36 
2       55.05    70.82    21.88   116.39    55.03        0    56.77    31.44    93.88    42.51    80.06 
3        26.5    37.13    60.68    68.49    31.15    78.52        0   103.93    56.17    68.94    53.23 
4       71.01   150.12     44.8   165.27    76.87    34.91    98.11        0    112.3    20.05    86.54 
5      113.39    85.06     86.2    74.37       29    85.38    38.86    81.76        0   104.26    79.85 
6      119.77     87.4    85.21   133.19    65.12     35.4    96.98    21.82    67.18        0   115.81 
7       24.98     16.7    88.38    12.59    51.37    67.28    41.36    137.2    81.04   126.36        0 
;

param d:       1    2    3    4 :=
1       8   15    0   15 
2       0   10    0    0 
3      13    0    0   13 
4       0    0   15    0 
5       0    6    0    0 
6       0   18   19    0 
7       6    0    0    0 
;
