set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     47.3    29.53    20.39    65.22    59.99    11.94    36.84    51.03    24.02    28.63 
o2       47.3        0    64.25    61.49    43.75    94.69    59.14    59.37    49.19    61.27    70.89 
o3      29.53    64.25        0    11.02    61.33    31.73    29.26    65.35    80.34    49.37    48.21 
o4      20.39    61.49    11.02        0    66.15    39.63    18.29    54.85    71.35    38.45    37.28 
1       65.22    43.75    61.33    66.15        0     81.7    75.44     93.6    90.79    87.77    93.84 
2       59.99    94.69    31.73    39.63     81.7        0       56    93.23   110.98    75.55    70.79 
3       11.94    59.14    29.26    18.29    75.44       56        0    37.26    56.54     20.2    20.05 
4       36.84    59.37    65.35    54.85     93.6    93.23    37.26        0    25.91    18.38    27.55 
5       51.03    49.19    80.34    71.35    90.79   110.98    56.54    25.91        0    41.94    52.47 
6       24.02    61.27    49.37    38.45    87.77    75.55     20.2    18.38    41.94        0     11.1 
7       28.63    70.89    48.21    37.28    93.84    70.79    20.05    27.55    52.47     11.1        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    69.31    35.82    25.81    75.56    62.91    16.23    42.49    43.04    33.79    36.76 
o2       61.5        0    73.89    83.29    62.12   103.18    64.21    50.02    62.65    82.93    62.93 
o3      26.37    64.17        0    14.99    73.61    35.87    42.13    74.13    73.61    46.12     60.8 
o4      27.19    55.22    12.37        0    57.68    54.67    16.22    45.86    67.38    39.18    43.36 
1       95.92    58.78    84.92    81.48        0    68.98    88.24   114.62   115.31   124.12    97.32 
2       88.75    95.94    45.17    44.53     67.5        0    55.57   131.84   163.34    61.01    57.78 
3       14.12    65.82    31.99    23.27    86.88    63.22        0    38.74    58.42    20.76    19.62 
4       37.69    79.18    52.31    64.82   103.42    97.59    32.44        0    33.69    15.21    38.73 
5       67.08    59.35    94.14    73.29    90.72   129.76    57.74    35.15        0    44.41    74.46 
6       30.82    79.76    44.07    54.73   111.41    109.5    23.46    16.81    61.66        0    14.44 
7       24.52    94.17     40.5    36.14    95.28    93.14    27.89    24.06    60.36     8.99        0 
;

param d:       1    2    3    4 :=
1       0   10    0    0 
2       0   10    0    0 
3       0    8    0    0 
4       0    0    9    0 
5       9    0    0    0 
6       0    0    0   13 
7       0    9    0    0 
;
