set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    47.45    53.94    59.78    19.45    38.96    22.82    55.04     20.4     33.3    31.97 
o2      47.45        0    69.47    81.76    66.74     79.7    30.51   100.14    52.24    76.95    47.06 
o3      53.94    69.47        0    13.65     61.2    40.22    67.72     61.8    33.69    79.44    84.13 
o4      59.78    81.76    13.65        0    62.91     36.1    76.59     54.6     39.6    80.63    91.31 
1       19.45    66.74     61.2    62.91        0    31.89    39.66    40.28    29.86    18.26    40.61 
2       38.96     79.7    40.22     36.1    31.89        0    61.36    23.33     27.6    47.41    69.41 
3       22.82    30.51    67.72    76.59    39.66    61.36        0    77.74     38.1       47    19.76 
4       55.04   100.14     61.8     54.6    40.28    23.33    77.74        0    49.44    48.33    80.89 
5        20.4    52.24    33.69     39.6    29.86     27.6     38.1    49.44        0    47.82    51.71 
6        33.3    76.95    79.44    80.63    18.26    47.41       47    48.33    47.82        0    39.54 
7       31.97    47.06    84.13    91.31    40.61    69.41    19.76    80.89    51.71    39.54        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    49.32    46.06    51.07    21.38    43.48    18.93    73.87    22.06    40.14    25.79 
o2      65.05        0    58.61   111.77     69.9    87.64    41.47    91.13    55.32     79.7    41.71 
o3      67.83    64.05        0    15.55    50.41    43.53    69.32    74.77    44.88    97.12    89.93 
o4       57.9    76.62    15.99        0     91.6    49.27     88.9    47.95    39.15    91.96    83.16 
1       21.67    63.27    67.07    80.85        0     42.1    32.83     38.2    42.44    27.07    57.21 
2        56.1   114.22    36.44    43.24    42.35        0    83.93    19.33    40.36    67.34   103.41 
3       20.57    33.44    77.36    85.74    50.29     60.3        0   102.29     55.9    42.28    24.95 
4       47.03     89.1    49.63     78.3    52.27    21.94    85.92        0    48.46    66.64   104.43 
5       17.81    46.98    44.48    38.02     24.9    38.47    52.44    66.18        0    70.94    64.52 
6       37.06    81.97   106.72    90.03    17.81    41.39    43.72    49.68    63.21        0    43.02 
7       35.01    48.94    88.06   129.52    57.54    71.34    26.07   106.41    73.18    45.33        0 
;

param d:       1    2    3    4 :=
1       0    0    7    0 
2      16    0    0    0 
3      12    0    0    9 
4       0    0    0    8 
5       0    0    9    0 
6       0    0    0   13 
7       0   19    0    0 
;
