set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0   104.96    92.12      6.1    51.22    46.48    52.46    29.48    86.57     7.64    92.59 
o2     104.96        0    39.35   110.46     74.1    68.99    67.55    76.85    38.33   103.74       23 
o3      92.12    39.35        0    96.29    82.19    46.68    42.03    62.95    64.43    93.81    52.61 
o4        6.1   110.46    96.29        0    57.16    50.08    55.78     34.3    92.64    12.36     98.5 
1       51.22     74.1    82.19    57.16        0    56.93    62.41    42.27    42.49    45.44    54.18 
2       46.48    68.99    46.68    50.08    56.93        0     6.48    19.71    67.51     49.5    65.61 
3       52.46    67.55    42.03    55.78    62.41     6.48        0    26.19    69.69    55.77    66.37 
4       29.48    76.85    62.95     34.3    42.27    19.71    26.19        0    64.75    30.91    67.41 
5       86.57    38.33    64.43    92.64    42.49    67.51    69.69    64.75        0    82.82    15.33 
6        7.64   103.74    93.81    12.36    45.44     49.5    55.77    30.91    82.82        0    89.94 
7       92.59       23    52.61     98.5    54.18    65.61    66.37    67.41    15.33    89.94        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0   114.17    99.38     7.51    45.58    40.76     60.1    36.72    129.8      7.5    80.23 
o2      94.62        0    56.43   145.97   107.31    65.22    77.34    72.79    55.56   101.04    31.84 
o3     131.91    44.23        0   123.31    96.55    65.11    48.14    54.68    91.68    101.4    74.29 
o4       6.76   149.41   131.33        0    48.79    44.62    78.54    46.96   138.62    13.17   125.48 
1       57.73   107.08    73.24    50.39        0    66.46    55.61    45.74    62.92    61.18     49.6 
2       52.79    97.59    42.28    49.77    46.41        0     8.38    19.33    79.41    73.83    67.53 
3          44    84.55     35.2    77.14    60.29     8.45        0    31.22    59.35       70    98.82 
4       34.62    71.42    71.38    28.67    56.57    22.24    39.08        0    67.29     34.1    71.05 
5       71.26    45.88    67.95   114.32    47.88     68.3    96.27    75.04        0    97.12    19.56 
6        7.02   132.16   107.31       10    67.56    55.07    50.83    36.86   107.08        0    86.11 
7      101.35    21.03    63.97   140.75    67.89    67.06    65.05    79.52    19.88    77.04        0 
;

param d:       1    2    3    4 :=
1       0    0   10    0 
2       0    7    0    0 
3       6    0    0    0 
4       0    0    0   12 
5       0    0    0   17 
6      11    6    0    0 
7       0   10    0    0 
;
