set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    38.83    85.35    52.43   101.41    35.35    77.76    56.88    14.62    49.36    90.07 
o2      38.83        0    48.64    24.97    64.92    58.83    48.82    18.47    27.01    39.15     61.6 
o3      85.35    48.64        0    57.29    16.29    92.76    25.12    30.67    75.38    54.56    29.95 
o4      52.43    24.97    57.29        0    72.22     80.4    66.83    30.09    37.83    64.01    78.76 
1      101.41    64.92    16.29    72.22        0   106.82    33.39    46.87    91.65    67.36    31.63 
2       35.35    58.83    92.76     80.4   106.82        0    75.89    72.03     46.7    40.33    85.52 
3       77.76    48.82    25.12    66.83    33.39    75.89        0    36.78    71.63    35.58    12.84 
4       56.88    18.47    30.67    30.09    46.87    72.03    36.78        0    45.48    42.29     48.7 
5       14.62    27.01    75.38    37.83    91.65     46.7    71.63    45.48        0    49.02    84.37 
6       49.36    39.15    54.56    64.01    67.36    40.33    35.58    42.29    49.02        0    45.43 
7       90.07     61.6    29.95    78.76    31.63    85.52    12.84     48.7    84.37    45.43        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    49.74   109.04    45.09    81.78    31.02   107.96    68.44    16.35    52.53   111.65 
o2      34.13        0    60.75    34.21    92.89    77.92    39.08    22.57    37.27    58.52    57.71 
o3     100.88    50.44        0    51.59    20.57   112.25    21.74    33.64    95.94    63.79    27.84 
o4      67.48    34.69     48.6        0   102.36    109.7    96.01    35.09    42.81    91.15    88.93 
1      145.32    96.14     17.3    104.1        0   153.55     38.6    46.98   132.75    99.04    30.33 
2       35.26    77.18    96.07   108.83    156.7        0    71.65   100.97    64.98    50.29    70.57 
3      108.13    55.91    35.37    82.38    41.55    71.48        0    52.01    83.73    35.95    12.07 
4       56.27    17.65    42.87    26.93    60.57    92.62    49.31        0    45.55    56.21    72.33 
5       21.25    23.33   105.58    50.44    98.47    62.86    82.25    64.67        0    42.79    81.21 
6       49.05    55.13    56.52    75.39    77.16    38.83    44.81    61.73     66.6        0    44.16 
7      128.73    71.04    28.37    77.43    27.13    95.82    13.48    53.73    80.73    45.25        0 
;

param d:       1    2    3    4 :=
1       7   11    0    5 
2       0   19    0    0 
3       0    0    0   10 
4       0    0    5   15 
5       0    5    0    0 
6      10    0    0    0 
7       0   13    0    0 
;
