set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    19.91    79.66    40.55    68.06    47.67    77.02     72.1    83.18    38.41   124.31 
o2      19.91        0    59.84    21.16    74.99    45.27    57.13    77.93    76.01    22.64   113.73 
o3      79.66    59.84        0     39.4   111.81    74.66     4.23   112.01     78.7    46.63    94.32 
o4      40.55    21.16     39.4        0    81.19    45.56    37.14    82.84    67.07    12.45    99.56 
1       68.06    74.99   111.81    81.19        0     37.2   111.69     5.52    54.03    69.21    94.46 
2       47.67    45.27    74.66    45.56     37.2        0    74.48    37.91    36.75    33.17    79.95 
3       77.02    57.13     4.23    37.14   111.69    74.48        0   112.09    80.48    45.26    97.64 
4        72.1    77.93   112.01    82.84     5.52    37.91   112.09        0    50.69    70.66    90.11 
5       83.18    76.01     78.7    67.07    54.03    36.75    80.48    50.69        0    56.26    43.74 
6       38.41    22.64    46.63    12.45    69.21    33.17    45.26    70.66    56.26        0    91.62 
7      124.31   113.73    94.32    99.56    94.46    79.95    97.64    90.11    43.74    91.62        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    24.01   101.91    60.75    85.22    38.24    66.81    61.51   102.91    50.26   106.66 
o2      23.38        0    70.93    30.58    95.39    56.67    74.78    87.68    83.52    29.51    96.87 
o3     110.93    69.32        0    39.18   130.57    59.79     6.14   160.68    69.23     64.3    95.75 
o4      51.86    17.54    53.35        0    99.38    43.62    35.01    96.24    97.25    10.58   122.76 
1       73.57    92.05   105.77   115.38        0    55.42   140.73      4.6    49.84    71.62   113.72 
2        59.9    47.59   105.45    40.41    43.16        0    64.97    38.08    46.13    49.51    96.19 
3       88.75    46.92     3.82    38.16   127.62    89.44        0   122.26    93.22       57   131.45 
4        98.4   102.55   114.68    84.94     7.73    42.35   130.86        0    63.56    66.15    75.22 
5       98.53    77.57    99.45    96.04    73.24    44.27    67.61    40.74        0    82.01    58.11 
6       44.21    28.36    57.63    10.83    86.38     35.6    64.42    104.5    73.31        0   113.32 
7      148.44   110.46    84.65    93.69   121.47   113.49   134.68   121.16    42.89   125.93        0 
;

param d:       1    2    3    4 :=
1       5    0    0   16 
2       0    0    0   17 
3       0    0    9    0 
4       0   19    0    0 
5      17    0    0    0 
6      19    0    0    0 
7       0   13    0    0 
;
