set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    18.27    39.37    53.74     63.2    83.19    16.51    70.41    68.21    62.22     2.49 
o2      18.27        0     35.8    68.63     71.6    86.39    20.59    86.88    55.01    61.78     17.1 
o3      39.37     35.8        0    57.23    44.97    52.19    52.76    78.27    37.74    26.21     40.8 
o4      53.74    68.63    57.23        0    30.79     59.4    68.34    21.06    94.69     57.7    56.12 
1        63.2     71.6    44.97    30.79        0    28.65     79.7     47.4    77.45    32.51    65.65 
2       83.19    86.39    52.19     59.4    28.65        0    99.31    74.59    72.11    27.15    85.41 
3       16.51    20.59    52.76    68.34     79.7    99.31        0    83.13    75.59    77.25    14.11 
4       70.41    86.88    78.27    21.06     47.4    74.59    83.13        0   115.75    77.45    72.59 
5       68.21    55.01    37.74    94.69    77.45    72.11    75.59   115.75        0    47.15    68.54 
6       62.22    61.78    26.21     57.7    32.51    27.15    77.25    77.45    47.15        0    64.11 
7        2.49     17.1     40.8    56.12    65.65    85.41    14.11    72.59    68.54    64.11        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    18.21    44.53     77.8     53.8    113.1    18.88    73.93       62    59.18     2.84 
o2      23.66        0    31.52    96.84    74.25    97.71    24.74   107.63    44.53    60.66    21.62 
o3      40.03    31.12        0    55.42    46.82    70.95    68.12   108.71    45.97    22.57    34.76 
o4      74.23    96.31    74.74        0    38.47     87.8    81.78    26.71   106.11    75.65    81.44 
1        75.5    89.91    52.11    45.56        0    34.99    72.32    50.59   101.12    38.98    72.45 
2      119.77   109.16    52.02    57.34    35.84        0    87.27    68.16    73.44    38.86     88.9 
3        19.7    20.98    65.15    72.64    88.76   121.54        0   101.42    66.32   103.22    11.84 
4       98.02    72.01    95.32    19.52    67.99    61.09    123.7        0   148.46    69.73    60.53 
5        88.8    46.39    49.63   125.61   115.15    101.2    64.64   152.05        0    45.66    84.24 
6       53.68    57.41    22.69    57.03    46.95    38.26   107.72     71.9    54.76        0    77.53 
7         3.1    22.87    38.43    79.52    79.96    68.66    19.29   103.07    60.94    75.78        0 
;

param d:       1    2    3    4 :=
1      14    0    8    0 
2       0    0   19    0 
3       0    0   16    0 
4       0   16    0    0 
5      17    0    0    0 
6       0   12    0    0 
7       0   12    8   11 
;
