set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     9.23    73.52    19.94    64.71    37.91     47.3    59.52    56.75    16.61    78.37 
o2       9.23        0    67.57    26.11    70.35    30.81     38.5    54.09    51.66    24.68    84.47 
o3      73.52    67.57        0    93.21    86.72    37.31    41.25    14.51    17.87     77.3    99.53 
o4      19.94    26.11    93.21        0    74.71    56.87    63.62    79.34    76.64    26.66    86.73 
1       64.71    70.35    86.72    74.71        0    74.73    91.61    74.99    71.63    49.36    14.71 
2       37.91    30.81    37.31    56.87    74.73        0    16.98    25.07    23.58    46.08    89.36 
3        47.3     38.5    41.25    63.62    91.61    16.98        0    33.85    34.05    59.04   106.27 
4       59.52    54.09    14.51    79.34    74.99    25.07    33.85        0     3.55    62.79    88.48 
5       56.75    51.66    17.87    76.64    71.63    23.58    34.05     3.55        0    59.53    85.22 
6       16.61    24.68     77.3    26.66    49.36    46.08    59.04    62.79    59.53        0    62.48 
7       78.37    84.47    99.53    86.73    14.71    89.36   106.27    88.48    85.22    62.48        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0        8    89.09    17.14    83.34    37.42    45.62    60.97    82.95    24.31    77.26 
o2      12.15        0       85    36.31    71.12    34.62    50.79    46.35    68.83    29.67    81.45 
o3      94.51       95        0    93.75   115.36    55.69    47.74    19.24    21.21    96.04    83.28 
o4      26.33    29.09    93.62        0    74.29    64.19    75.35    75.22   105.72    37.47   106.93 
1       94.67    97.87    90.89    81.43        0    65.05    88.63   104.48   106.92    63.83    15.59 
2        39.2       25    54.39     65.6    65.89        0    18.36    35.05    23.62    54.17   104.46 
3       56.66    38.36     56.7    65.24   125.77    14.82        0    49.53    35.46     77.1   140.97 
4       82.69     54.7    18.21    98.37    66.34    22.64    41.25        0     5.03    85.14    90.06 
5       70.06    48.96    16.44    97.03    58.76    26.28    49.77     4.67        0     81.3    80.56 
6       16.26    23.54    76.53    37.61    71.71    60.83    69.73    50.37    52.65        0    68.94 
7      115.55    96.16   147.34   101.77    16.87   105.66   103.33   110.06     91.6    70.51        0 
;

param d:       1    2    3    4 :=
1       7    0    0    0 
2       0    0   19    0 
3      15   18    0   12 
4      17    0    0    0 
5       0   14    0    0 
6       0    8    0    0 
7       0   12   18   18 
;
