set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    50.28    64.77     2.57    57.16   103.41    35.74    71.42    49.54   105.94    69.18 
o2      50.28        0    20.02    51.41    61.19    55.26    49.72    39.69     9.79    57.41    59.94 
o3      64.77    20.02        0     66.4    80.98    53.38    69.55    23.03    28.97    54.55     78.4 
o4       2.57    51.41     66.4        0    55.39      104    34.02     73.6     50.2   106.58    67.81 
1       57.16    61.19    80.98    55.39        0    86.71    21.43   100.08    52.05    89.89    17.35 
2      103.41    55.26    53.38      104    86.71        0     88.6    72.72    53.88     3.18    73.91 
3       35.74    49.72    69.55    34.02    21.43     88.6        0    85.63    42.46    91.62    34.67 
4       71.42    39.69    23.03     73.6   100.08    72.72    85.63        0    49.46    73.26    99.62 
5       49.54     9.79    28.97     50.2    52.05    53.88    42.46    49.46        0     56.4    50.17 
6      105.94    57.41    54.55   106.58    89.89     3.18    91.62    73.26     56.4        0    77.08 
7       69.18    59.94     78.4    67.81    17.35    73.91    34.67    99.62    50.17    77.08        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    64.17     84.1     3.34    75.07   119.79    33.25    69.36    71.34   144.69   103.12 
o2      67.86        0    16.71    42.31    76.82    54.98    59.41    36.17    12.52    61.91    82.79 
o3      87.17     24.3        0    65.53    86.67    75.05    79.55    27.64    30.42    79.17    86.51 
o4        3.8    74.89    63.69        0    75.59   140.52     33.6    85.03    49.35   146.52    70.15 
1          79    78.75    72.25    67.18        0    86.66    31.11    107.4    69.18    97.82    14.81 
2      136.24    49.86    52.13   132.93   119.76        0    75.12    76.24     74.8     3.18    64.58 
3       40.71    59.93    65.96    35.08    25.23    76.83        0    113.2    39.28   124.07    41.08 
4       80.94    34.09    24.52     63.7   105.18    97.54   111.16        0    69.18    65.44   132.05 
5       67.46     11.5    32.49    71.43     46.8    75.46    56.32    45.42        0    49.89    58.01 
6      109.76    56.28    80.59   103.29    84.66      3.8   111.06    62.75    55.32        0   111.61 
7       79.42    74.29   101.34    78.71    25.66    93.42    31.08   137.02    50.69    76.53        0 
;

param d:       1    2    3    4 :=
1       0    0   14    0 
2      15    0    0    0 
3       6    0    6    0 
4       0    0   10    0 
5       0   15    0    0 
6       0   16    0    7 
7       0    0   12   11 
;
