set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    29.21    74.01     28.2    73.01    77.56     96.2    67.89    61.37    40.03    13.78 
o2      29.21        0    89.22     3.22    46.89    82.24    93.77    54.32    56.59    11.13    16.22 
o3      74.01    89.22        0    90.83   105.11    31.04    56.25    72.65    53.53    98.62    82.93 
o4       28.2     3.22    90.83        0    49.56    84.71     96.7    57.53     59.5    11.87     14.7 
1       73.01    46.89   105.11    49.56        0    84.05    81.54    36.63    53.45    40.58    62.26 
2       77.56    82.24    31.04    84.71    84.05        0    26.15    48.15    30.83    89.15    81.76 
3        96.2    93.77    56.25     96.7    81.54    26.15        0    45.81     37.2    98.15    97.36 
4       67.89    54.32    72.65    57.53    36.63    48.15    45.81        0    19.13    55.69    63.31 
5       61.37    56.59    53.53     59.5    53.45    30.83     37.2    19.13        0    61.46    60.76 
6       40.03    11.13    98.62    11.87    40.58    89.15    98.15    55.69    61.46        0    26.56 
7       13.78    16.22    82.93     14.7    62.26    81.76    97.36    63.31    60.76    26.56        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    42.24    59.82    35.47    91.44    64.46   143.84    85.73    60.38    34.95    15.68 
o2      25.84        0   116.21      3.1    52.53   114.44    78.64    71.18    69.08    16.17    21.65 
o3      78.83    84.41        0    72.96    108.8    33.36    66.93    63.08    60.86   111.19     88.7 
o4      25.49     2.73   133.65        0       65   112.86     96.7    76.46    60.65    10.08    21.68 
1       85.18    60.92   131.96    60.28        0    84.21    76.31    48.58     43.2    50.88     79.2 
2        63.4    83.75    25.14    87.55   100.68        0    30.53    57.76    37.52   122.34    90.11 
3       100.8   136.97    48.65   144.64   100.95    32.54        0    36.93    38.58   122.85   113.97 
4       56.07    57.44    87.15    75.81    34.97    50.38    67.04        0     15.7    82.95    76.02 
5       85.67    76.36    78.03    81.02    76.99    38.11    47.12    28.07        0    66.52    88.48 
6        47.8    15.42   136.58    12.37    54.13     96.7   137.96    65.57       60        0    37.45 
7       11.38    20.84   117.37    15.94    78.82   106.46    98.81     75.9    69.62    29.54        0 
;

param d:       1    2    3    4 :=
1       0    0   12    0 
2       0   15    0    0 
3       0    5    0    0 
4      17    0    0    0 
5      14   16   19    0 
6       7    0    0    0 
7       0    0    0    6 
;
