set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    45.06    71.24    53.14    37.65    73.13    88.87    80.19    67.86    21.13    41.59 
o2      45.06        0    27.62    77.93    26.93    40.48    70.01    61.08    72.11    52.74    28.69 
o3      71.24    27.62        0   104.57     52.3    47.43    81.51    73.85    94.29    80.36    52.78 
o4      53.14    77.93   104.57        0    52.43    78.74    71.56    66.65    32.86    32.17    52.72 
1       37.65    26.93     52.3    52.43        0    36.09    53.26    44.19    45.78    33.64     4.13 
2       73.13    40.48    47.43    78.74    36.09        0    34.16    27.11     56.4    68.75    32.69 
3       88.87    70.01    81.51    71.56    53.26    34.16        0     9.16    39.98     76.4    49.16 
4       80.19    61.08    73.85    66.65    44.19    27.11     9.16        0    36.94    68.58    40.08 
5       67.86    72.11    94.29    32.86    45.78     56.4    39.98    36.94        0    49.07    43.45 
6       21.13    52.74    80.36    32.17    33.64    68.75     76.4    68.58    49.07        0    36.32 
7       41.59    28.69    52.78    52.72     4.13    32.69    49.16    40.08    43.45    36.32        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    45.31    84.58    74.37    43.01    99.05    93.73   102.46    84.45    25.79    55.08 
o2      64.75        0    37.87    63.03    23.58    33.43    70.39    54.43    75.99    65.07    28.59 
o3      90.11    24.86        0   150.99    56.06    55.48    93.54   100.02    96.71    70.81    50.31 
o4      79.44    97.86   142.91        0    64.43     64.4   106.19    93.02    47.94    26.98    48.38 
1       50.04    32.46    50.13    53.91        0    29.19    71.16    37.62    38.76    46.99     4.61 
2       103.5     42.9    59.55    78.05    36.43        0    36.17    28.06    45.18    66.26    48.95 
3       73.27    74.27    85.65     90.4    66.19    30.74        0      9.2    47.69    96.61    72.19 
4       93.38    88.03    68.22    62.43    54.46    30.01     8.27        0    31.25    79.11    47.65 
5       86.33    78.75     89.7    46.64    47.23    79.07    58.71    31.37        0    72.53    38.71 
6       22.23    43.82   107.96    45.95    42.04    61.38    84.04    69.06    46.93        0    46.83 
7       49.48    34.06    61.56    49.21     4.49    29.98    67.72    55.77    36.64     49.7        0 
;

param d:       1    2    3    4 :=
1      11   18    8    0 
2       0    0    8    0 
3       0    0   18    0 
4      12    0    0    0 
5       0    0    6    0 
6       0    0    0   16 
7       0    0    0    9 
;
