set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    57.42    47.99     77.2    70.74    80.68    70.32    93.33    81.41    98.97    69.29 
o2      57.42        0    44.44    47.57    26.31    25.75    30.36    35.95    32.79    44.24    11.98 
o3      47.99    44.44        0    88.59    36.51    53.31     32.8    72.65    46.54    86.09    53.45 
o4       77.2    47.57    88.59        0    72.42    63.33     77.2     55.7    75.46     45.4    46.46 
1       70.74    26.31    36.51    72.42        0    17.77     5.53    38.16    10.89    54.17    26.69 
2       80.68    25.75    53.31    63.33    17.77        0    23.01    20.45    13.46     37.2    18.06 
3       70.32    30.36     32.8     77.2     5.53    23.01        0    43.46    13.75    59.66    31.93 
4       93.33    35.95    72.65     55.7    38.16    20.45    43.46        0    32.73    18.09    24.04 
5       81.41    32.79    46.54    75.46    10.89    13.46    13.75    32.73        0    50.23    29.07 
6       98.97    44.24    86.09     45.4    54.17     37.2    59.66    18.09    50.23        0    33.09 
7       69.29    11.98    53.45    46.46    26.69    18.06    31.93    24.04    29.07    33.09        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    66.56    41.36    94.34    60.68   104.72    68.67   115.49   117.25    123.6    89.37 
o2      60.54        0    47.23    69.61    34.61    38.22     33.9     47.5    35.47    64.45    17.68 
o3      50.32    47.88        0    94.58    54.69    68.23    39.38    89.23    66.65    95.93    60.13 
o4     109.63    46.02    98.14        0    100.7    93.84    73.61    79.01   107.29    59.97    38.64 
1       77.44    33.55     33.6    84.52        0    24.33     6.94    49.49    15.91    79.37    24.75 
2       82.11    27.04    57.14     65.3     15.3        0    22.93    19.31    16.68    49.96     15.7 
3       94.87    25.35    41.94     69.6     5.62    31.58        0    49.92    16.76    81.23    29.92 
4      111.19    45.41   106.43    71.31    49.97    19.31    57.26        0    45.52    20.94    30.33 
5      113.83    45.75    45.64   104.57     11.1    12.21    18.66    41.71        0    75.34    36.53 
6      130.05    45.28    87.92    37.86    53.89     42.8    49.19    18.26    67.23        0    32.78 
7       91.29     16.1    51.36    41.18    37.15    17.95    38.26    23.79    27.58    40.15        0 
;

param d:       1    2    3    4 :=
1       0    0   13    0 
2       0    0    0   12 
3       0    0    5    0 
4       0   14   19    0 
5       7    0    0    0 
6       0    0   12    0 
7      12    8    9    0 
;
