set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    42.14    97.91    47.35    66.39    52.34    61.88    69.13    74.39     26.7    70.27 
o2      42.14        0    77.82    52.11    25.07     10.2    83.53    92.33     53.4    15.44    83.59 
o3      97.91    77.82        0     56.3    67.11    76.05    80.69     86.9    24.81     83.3    66.37 
o4      47.35    52.11     56.3        0    62.46    58.23    35.08    43.82    38.19    46.15    31.57 
1       66.39    25.07    67.11    62.46        0     15.9    97.13      106    46.23    40.01    93.05 
2       52.34     10.2    76.05    58.23     15.9        0    91.15   100.03    52.62    25.63    89.78 
3       61.88    83.53    80.69    35.08    97.13    91.15        0      8.9    69.57    73.56    16.73 
4       69.13    92.33     86.9    43.82      106   100.03      8.9        0    77.34     82.1    20.79 
5       74.39     53.4    24.81    38.19    46.23    52.62    69.57    77.34        0     58.5    58.92 
6        26.7    15.44     83.3    46.15    40.01    25.63    73.56     82.1     58.5        0    76.32 
7       70.27    83.59    66.37    31.57    93.05    89.78    16.73    20.79    58.92    76.32        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    56.52     79.4    40.02    58.29       57    77.28    77.07     87.6    37.73    97.34 
o2      49.99        0   110.93    77.86    24.19      8.7   105.74    93.11    60.63    14.91    75.44 
o3     140.89    80.64        0    84.39     55.9     76.4    72.02   112.95    37.05      105    62.83 
o4      43.79    71.52    53.05        0    83.46    69.89    33.16    65.64    44.17    57.42    26.14 
1       71.16    29.17    94.45    61.45        0    14.89   139.28   152.25    45.78    45.12   122.45 
2       51.06     9.48   102.09    68.13    13.33        0   133.19    136.6    46.12    27.55     87.4 
3        75.5    73.13    66.53    48.98   134.38   132.14        0     11.4   101.38    61.17    20.83 
4       92.44   117.95   109.56    64.14   135.85    87.61     9.13        0   110.94    82.27    24.97 
5       99.61    45.35    29.38     39.2    54.68    59.59     78.3    83.02        0    53.14    56.13 
6       26.27    16.03    77.18    50.79    51.52     23.8    72.16    82.77    58.39        0    80.67 
7       66.12      100    80.47    31.92   109.09   108.06    24.86    27.22    51.21    70.18        0 
;

param d:       1    2    3    4 :=
1      18    0   12   13 
2       9    6   14   12 
3       0    0    7    0 
4       0    0    6    0 
5       0    0    9    0 
6       0   11   11   15 
7       0    6    0   15 
;
