set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    74.39    69.21    76.59    33.08    16.29    62.31    41.62    84.91    40.97     4.91 
o2      74.39        0    50.03     4.36    46.76    71.01     36.5    32.84    10.77    37.83    69.55 
o3      69.21    50.03        0    54.38    38.24    55.92    75.53    47.88    57.44    34.84    66.11 
o4      76.59     4.36    54.38        0    50.02    73.96    34.67    34.97     8.48    41.22    71.71 
1       33.08    46.76    38.24    50.02        0    24.79       51    19.72    57.51     9.09    29.15 
2       16.29    71.01    55.92    73.96    24.79        0    67.36    40.29    81.78    33.86    16.22 
3       62.31     36.5    75.53    34.67       51    67.36        0    31.58    41.43    46.15    57.74 
4       41.62    32.84    47.88    34.97    19.72    40.29    31.58        0    43.29    14.84    36.75 
5       84.91    10.77    57.44     8.48    57.51    81.78    41.43    43.29        0    48.54    80.04 
6       40.97    37.83    34.84    41.22     9.09    33.86    46.15    14.84    48.54        0    36.67 
7        4.91    69.55    66.11    71.71    29.15    16.22    57.74    36.75    80.04    36.67        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    79.79    93.65    93.94    40.94     22.6     66.2    43.63    97.12    46.83     4.79 
o2      75.12        0    47.95     5.67    52.42    91.24    42.11    42.65     9.36    40.65     80.1 
o3      56.59    72.62        0    75.57    39.65    80.65    81.42    71.47    48.33    45.68    70.03 
o4      91.79     4.21    48.01        0    60.17    72.34    46.47    48.88     11.6    35.08    96.15 
1       48.78    40.63    37.51    57.02        0    30.15     73.4    24.07    75.22     9.29    36.28 
2       23.69    71.88    68.89    90.49    24.46        0    59.66    57.07   104.89    45.44     19.9 
3       87.76     52.9    111.6     30.2    50.53    67.06        0    27.74    49.46     46.5    69.75 
4       53.45    31.46    47.75    31.84    21.41    55.17    43.36        0    38.69    16.84    37.55 
5      125.24    15.51    62.12     8.62    80.68    73.33    40.48    54.72        0    63.53   102.36 
6       35.49    32.44    40.27    48.25    12.41     34.3    60.03    12.56    47.82        0    46.39 
7        3.95    72.82    70.77    72.93    24.93    22.17    83.75    41.76     92.9    32.37        0 
;

param d:       1    2    3    4 :=
1      18    0    6    6 
2       7   15    0   10 
3       7   17   13    0 
4      14    0    0    0 
5       0    0    0    7 
6       0    0    0   19 
7      11    0    0    0 
;
