set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    23.72    23.01    73.34    58.17    90.85    22.21    54.27     4.61    75.93    52.44 
o2      23.72        0    13.52    83.38    81.41    98.08     4.29    77.96    27.92    91.82    71.08 
o3      23.01    13.52        0    70.27    80.19    84.62     9.26    73.97    25.63    80.15    61.09 
o4      73.34    83.38    70.27        0    91.05    19.56    79.12    74.65    70.25    24.53    36.15 
1       58.17    81.41    80.19    91.05        0   110.37    80.34     17.1    54.73    76.43    54.95 
2       90.85    98.08    84.62    19.56   110.37        0    93.79    93.79    88.13    38.85    55.41 
3       22.21     4.29     9.26    79.12    80.34    93.79        0    76.05    26.06    87.86    67.51 
4       54.27    77.96    73.97    74.65     17.1    93.79    76.05        0    50.06    59.34    38.51 
5        4.61    27.92    25.63    70.25    54.73    88.13    26.06    50.06        0    71.89     48.1 
6       75.93    91.82    80.15    24.53    76.43    38.85    87.86    59.34    71.89        0    25.37 
7       52.44    71.08    61.09    36.15    54.95    55.41    67.51    38.51     48.1    25.37        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    33.67    33.88    107.1    74.02   114.82    33.16    62.01     5.47    63.05    42.32 
o2       32.9        0    14.46    73.85    69.85   104.08     6.21   105.99    39.83    84.61   104.12 
o3      25.66    15.68        0    92.92    95.26   120.95    10.05    89.97    32.44   113.78    66.22 
o4      92.34   110.42    97.58        0    99.22    27.57    76.44    86.09    82.28    30.31    49.58 
1       48.01   117.16    72.56   105.55        0   133.23    67.58    17.57    48.45    65.38    61.91 
2        85.4   138.57   113.96    23.69   110.01        0    87.49   131.25   115.44    54.99    78.97 
3       31.59     4.24    11.53    65.21   113.26    90.64        0    79.51    37.55    96.48    94.04 
4       65.96   102.44    74.42   108.95    17.88    99.93    68.89        0    67.12    51.26    39.44 
5         5.3    37.21    22.13    98.94    48.02   125.51    33.65    58.48        0    64.28    49.43 
6      102.19   108.64    67.33     35.9   106.51    43.42   123.14    73.91    68.99        0    35.37 
7       59.99    62.39    56.53    47.12    65.58    81.07    74.12     51.2    39.31    27.74        0 
;

param d:       1    2    3    4 :=
1      18   12    0    0 
2       0    6    0    0 
3       0   18    0    0 
4      18    0   10   10 
5      10    0    0    0 
6      18   15    0    6 
7       0    0    0   19 
;
