set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    78.78    46.56    81.31    55.73    72.54    54.83    75.54    31.93    79.26    38.73 
o2      78.78        0    94.99    59.77    62.13     6.89    23.95     4.42    50.83    42.65    57.81 
o3      46.56    94.99        0    63.57    38.81    88.14    74.89    93.65    47.84    72.03    37.22 
o4      81.31    59.77    63.57        0    27.17    55.26    56.22    61.57    52.79     17.6    42.58 
1       55.73    62.13    38.81    27.17        0    55.75    47.96    62.01     31.8    33.21       18 
2       72.54     6.89    88.14    55.26    55.75        0    17.84     6.47    44.06     38.7    50.94 
3       54.83    23.95    74.89    56.22    47.96    17.84        0    20.89    28.11    42.97    38.18 
4       75.54     4.42    93.65    61.57    62.01     6.47    20.89        0    48.48    44.81    56.43 
5       31.93    50.83    47.84    52.79     31.8    44.06    28.11    48.48        0    47.93    14.86 
6       79.26    42.65    72.03     17.6    33.21     38.7    42.97    44.81    47.93        0    42.44 
7       38.73    57.81    37.22    42.58       18    50.94    38.18    56.43    14.86    42.44        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    66.69    37.48     83.6    51.88       75    46.69    72.31    32.43    72.29    51.15 
o2       95.9        0    93.99    48.93    53.66     7.57    21.19      4.2    51.22    53.07    69.92 
o3      40.49   116.87        0    59.33    51.76    94.64    97.49   101.26    48.56    96.98     48.4 
o4      69.75    66.01     62.3        0    28.19     54.8    56.26    84.73    70.53    15.47    53.97 
1       73.28     67.2    42.28    39.89        0    69.16    67.63    92.73     35.5    41.58    22.56 
2       79.59    10.16    87.78    71.98    57.23        0     26.3     6.53     43.3    44.94    63.73 
3       78.58     29.4    67.55    67.01    59.15    20.92        0    26.38    24.66    47.22    36.02 
4       88.34     5.33   132.45       51    78.51     9.46    20.43        0    40.63     41.9    54.32 
5       38.45       69    70.23    78.01    42.28       39    38.14    61.67        0    54.79    12.99 
6      102.45    46.45    80.14    22.18    46.88    57.59    55.13    64.81    61.71        0     56.7 
7        57.1    60.43    48.97    39.54    24.32    65.14    54.71    69.43    18.38    47.84        0 
;

param d:       1    2    3    4 :=
1       0    0    0   10 
2      16   14    0    0 
3       0   15    0    0 
4       0   14    5    0 
5      11    0    0    0 
6       0    0    0   17 
7       0    0   13    0 
;
