set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     73.9    82.92    10.46    88.07    65.71   109.89    48.14    45.53    76.22    41.94 
o2       73.9        0     59.5    63.88    15.04    13.57    53.62    32.98    48.27    85.34     37.1 
o3      82.92     59.5        0    73.92    69.34    68.12    41.03    43.75    37.74    35.24     48.1 
o4      10.46    63.88    73.92        0    78.25    56.34    99.61    37.73    36.22    70.57    31.52 
1       88.07    15.04    69.34    78.25        0    23.44    54.02    47.92    62.92    98.03    52.15 
2       65.71    13.57    68.12    56.34    23.44        0     66.9    33.02    49.05    89.85    35.04 
3      109.89    53.62    41.03    99.61    54.02     66.9        0    62.15    66.58    76.09    68.32 
4       48.14    32.98    43.75    37.73    47.92    33.02    62.15        0    16.04    57.88     6.21 
5       45.53    48.27    37.74    36.22    62.92    49.05    66.58    16.04        0    43.21    15.49 
6       76.22    85.34    35.24    70.57    98.03    89.85    76.09    57.88    43.21        0    58.66 
7       41.94     37.1     48.1    31.52    52.15    35.04    68.32     6.21    15.49    58.66        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    78.66     69.1    12.26   131.13    88.14   112.55    54.79    46.33    110.9    61.72 
o2      71.07        0     86.5    78.01    20.01    18.22    49.31    38.33    70.03   118.86    46.44 
o3      87.61    53.05        0    67.71    56.54    57.28     54.5    58.83    40.01    40.86    72.06 
o4       11.1    64.78    73.75        0    86.77    53.14   130.88    39.72    33.18     84.9    43.52 
1      104.59     19.4    92.47    77.22        0    28.65    67.73    43.94    79.34   135.11    64.36 
2       64.83    17.48    55.72    69.48    26.64        0    76.85    39.06    58.88    89.68    29.33 
3      105.68    51.01    58.19   136.35    52.91     76.8        0    81.63    69.23    98.29     81.5 
4       46.25    37.54    57.22     37.4    40.48     31.3    79.01        0    22.21    75.89      8.6 
5        50.9    58.43    43.49    48.53     90.3    62.88    91.87    18.28        0    41.77    16.59 
6       93.07   100.91    44.99    64.74   129.91   134.75    80.72    62.88    46.22        0     50.6 
7        42.4    47.52    70.41    32.31    77.21    44.64     79.8     6.38    13.97    81.98        0 
;

param d:       1    2    3    4 :=
1       0    0    0    5 
2       0   17   11   10 
3      15   16   10    9 
4       0    6    0    0 
5       0   10    0    0 
6       9    0    0    0 
7       0    0    0    9 
;
