set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    77.55    17.91    48.52    73.85    48.42    45.18    55.42    55.67    43.71    20.82 
o2      77.55        0    77.97   118.75    20.36    79.15    84.75    89.36    90.55     34.2    56.73 
o3      17.91    77.97        0    62.59    78.93    65.42    62.79       73    73.31    44.22    26.24 
o4      48.52   118.75    62.59        0    108.9    52.67    44.66    49.95    49.08    87.86    65.74 
1       73.85    20.36    78.93    108.9        0    63.82     70.4    73.38    74.62    36.07       54 
2       48.42    79.15    65.42    52.67    63.82        0     8.04    10.61    11.67    58.54       47 
3       45.18    84.75    62.79    44.66     70.4     8.04        0    10.24    10.52    61.61    47.26 
4       55.42    89.36       73    49.95    73.38    10.61    10.24        0     1.27    69.09    56.57 
5       55.67    90.55    73.31    49.08    74.62    11.67    10.52     1.27        0    70.06    57.25 
6       43.71     34.2    44.22    87.86    36.07    58.54    61.61    69.09    70.06        0    23.05 
7       20.82    56.73    26.24    65.74       54       47    47.26    56.57    57.25    23.05        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    97.41    19.43    46.54    99.47    43.42    42.84    51.82    74.58    35.25    21.99 
o2     106.23        0   104.26   172.76    20.84   112.41    96.61      122   117.31    27.39    49.81 
o3      18.04   108.56        0    60.21     67.7    88.37    58.06    80.86   100.85    44.31    36.84 
o4      50.09   117.73    54.94        0   128.19    70.41    60.21    69.05    65.89    98.93    76.33 
1       77.81    17.32    89.61   135.02        0    93.93     63.5   100.22    78.77    35.44    44.02 
2       68.37    78.62    71.84     43.2    76.84        0    10.57     9.68     11.3    56.31    53.83 
3        55.9    69.51    52.84    59.51    78.94     8.14        0    12.21    13.42    80.28    46.49 
4       74.81    83.25     69.1     61.4    90.26    14.45    14.82        0     1.65    96.71    49.06 
5       61.95    89.53   103.64    67.52   109.47    11.57    13.93      1.5        0    79.99     74.3 
6       54.47    39.19    46.67   119.61    41.93    74.26    92.24   100.62    62.77        0    27.62 
7        24.3     48.9    21.39    86.53     44.3    55.71    48.28    78.28    66.63    27.74        0 
;

param d:       1    2    3    4 :=
1       8   10    0    0 
2      10    0    0    0 
3       0   13    5   12 
4      10    0    0    0 
5       0    8    0    0 
6      13   12    0   18 
7       0    0   12    0 
;
