set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    55.28    33.21    57.16    68.25    56.92    62.54    77.89    54.17    35.53    51.72 
o2      55.28        0    79.74     3.12    87.95    64.77    23.06    44.68     12.2    72.47    35.68 
o3      33.21    79.74        0    80.67    46.07    47.39    78.19    86.07    74.18    13.92    60.49 
o4      57.16     3.12    80.67        0    87.18    63.75    20.36    41.84    10.33    72.93    34.25 
1       68.25    87.95    46.07    87.18        0    24.12    73.96    69.15    77.34    34.73     54.1 
2       56.92    64.77    47.39    63.75    24.12        0    49.84    46.52     53.7    33.47     30.1 
3       62.54    23.06    78.19    20.36    73.96    49.84        0    21.77    12.17    67.66    20.27 
4       77.89    44.68    86.07    41.84    69.15    46.52    21.77        0    33.84    73.48    26.66 
5       54.17     12.2    74.18    10.33    77.34     53.7    12.17    33.84        0    65.29    23.97 
6       35.53    72.47    13.92    72.93    34.73    33.47    67.66    73.48    65.29        0    48.81 
7       51.72    35.68    60.49    34.25     54.1     30.1    20.27    26.66    23.97    48.81        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    71.48    48.71     46.4    77.85    84.32    66.12    93.83     45.7    36.57    49.19 
o2      52.17        0    74.28     2.75    89.66    82.48    23.71    46.69    13.77    96.97    34.32 
o3      44.44   118.66        0   100.23     67.2    49.47    80.53    71.39   107.79    20.28    85.57 
o4      78.15     4.03   102.72        0    93.06    54.84     28.9     59.9      8.7    73.95    32.68 
1       74.38   129.59    49.02   118.77        0    24.34     60.6    97.96    75.23    43.35    66.91 
2        71.4    52.34    60.97    56.42    28.79        0    62.67    57.33    67.76    27.34    42.44 
3       55.95    33.21    95.62    18.91    78.62    43.53        0    23.75    12.31    84.72    21.02 
4       76.28    37.45   119.74    50.34    59.65    44.35    24.44        0     27.4    72.81    39.86 
5       55.07    12.44    73.32    10.03    69.53    50.46    10.99    38.35        0    85.26    29.94 
6       44.59    98.43    12.21    60.82    45.61    42.48    98.39    68.02    52.78        0    67.89 
7       55.34    44.51    57.12    40.61    78.32     26.8    25.31    32.47    22.77    68.07        0 
;

param d:       1    2    3    4 :=
1       0    0   15   14 
2      10    0    0    0 
3      12   10    0    5 
4       0   10    0    0 
5       7    0    0    0 
6       0    7    0   18 
7      10    0    8    0 
;
