set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    65.69    44.65    64.64    89.63       58     59.6     57.5    19.21     85.6    56.11 
o2      65.69        0    48.85    25.66    27.56    41.82    57.67    17.35    46.59    55.05    62.71 
o3      44.65    48.85        0    65.32    60.86    71.28    16.06    53.99    36.46    41.85    16.33 
o4      64.64    25.66    65.32        0    49.84    18.49    77.64    11.43    46.71    80.21     81.1 
1       89.63    27.56    60.86    49.84        0    67.76    62.79    44.29    71.27    45.24    69.82 
2          58    41.82    71.28    18.49    67.76        0    85.62    24.61    43.42    93.72     87.6 
3        59.6    57.67    16.06    77.64    62.79    85.62        0    66.21    52.52    31.65     7.73 
4        57.5    17.35    53.99    11.43    44.29    24.61    66.21        0    38.67    69.94     69.7 
5       19.21    46.59    36.46    46.71    71.27    43.42    52.52    38.67        0    73.28    51.49 
6        85.6    55.05    41.85    80.21    45.24    93.72    31.65    69.94    73.28        0    39.11 
7       56.11    62.71    16.33     81.1    69.82     87.6     7.73     69.7    51.49    39.11        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    86.83    35.88    80.36    88.82    65.72    69.38    73.63    17.17    81.71    54.41 
o2      87.34        0    63.44    22.11    31.36    41.56    62.87    16.56    62.47     58.6    93.56 
o3      39.43    51.87        0    94.39       80    97.77    18.92    60.21    54.49    56.76    19.47 
o4      58.67    25.22    62.24        0    67.24    24.28   113.85     14.3    39.59   106.32    70.21 
1       74.17    39.82    78.94    67.03        0    92.62    55.69    56.98    99.22    63.96    99.61 
2       66.79    45.73   101.59    25.76    54.87        0   111.62    30.89    64.15    87.98   103.69 
3       81.62    66.09    12.97    84.29    53.82   110.08        0    78.95     54.1    32.39     7.43 
4       71.37    18.77    58.75    11.52    59.47    30.42    80.01        0    40.31    68.58    75.82 
5       27.43    39.15    51.48    49.76    77.28    41.06    76.15    46.17        0   107.09    62.33 
6      126.17    52.08    50.97    77.63    62.63    86.46     32.7     95.2    63.63        0    42.51 
7       81.61     77.5    20.55   103.74    98.11    84.23     9.74    95.68    65.74    49.95        0 
;

param d:       1    2    3    4 :=
1       0    0   18    0 
2       0    0   12    0 
3      14    0    0   10 
4       0    0    0   12 
5       0    0    9    0 
6       6   19    0   13 
7       0   14    0    0 
;
