set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    45.77     51.1    60.81    62.95    38.43    66.15     47.5    39.26    35.32    45.75 
o2      45.77        0    80.53    35.94    89.12     7.94    51.37    82.22    39.91    64.34     39.6 
o3       51.1    80.53        0    69.56    12.28    72.92    61.42    10.34    44.36    16.88    95.87 
o4      60.81    35.94    69.56        0    73.68    34.75    17.09    75.58    27.07    57.89    74.37 
1       62.95    89.12    12.28    73.68        0    81.79    62.99    20.75     50.8    27.91   107.14 
2       38.43     7.94    72.92    34.75    81.79        0    48.58    74.38    33.59    56.59    39.66 
3       66.15    51.37    61.42    17.09    62.99    48.58        0    69.16     27.2    53.33    87.92 
4        47.5    82.22    10.34    75.58    20.75    74.38    69.16        0    49.18     18.4    93.16 
5       39.26    39.91    44.36    27.07     50.8    33.59     27.2    49.18        0    31.08    68.28 
6       35.32    64.34    16.88    57.89    27.91    56.59    53.33     18.4    31.08        0    79.26 
7       45.75     39.6    95.87    74.37   107.14    39.66    87.92    93.16    68.28    79.26        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     45.4    53.55    65.19     61.6    33.24    72.26     43.7    42.03    33.28    61.42 
o2      38.46        0     97.4    42.58   133.05     7.35    48.97    86.08    45.16    74.09    42.01 
o3      57.23   118.35        0     63.8    15.76    84.87    91.44    13.17    53.34    23.25   105.84 
o4      69.54    52.33    66.06        0    93.95    39.47    24.82   112.47    37.61    54.73    98.18 
1       64.69   129.77    16.37   105.44        0    91.09    82.32    21.39    57.12    35.49   154.59 
2       54.19    10.73    95.14    37.08    71.88        0    59.69   110.83    31.81     58.9     50.2 
3       65.63    54.95    84.01    20.73    94.02    47.14        0    79.09    29.49    57.97    97.34 
4       64.77   122.77    15.38    87.43    28.21    71.48    99.72        0    71.43    22.74   119.75 
5       44.92    48.01    42.14    27.69    67.79    47.68    38.09    67.87        0    33.84    81.73 
6       51.89    55.83    18.87     82.8    41.64    66.72    48.44    18.97    44.65        0    96.85 
7       67.32    54.73   143.22    83.63   129.19    46.66    83.48   118.71     91.1    76.23        0 
;

param d:       1    2    3    4 :=
1       0    0   12    0 
2       0    0   13    0 
3       8    0    0    0 
4       0    0   17    0 
5       0    7    0    0 
6       0    0    0   11 
7       0   13    6    0 
;
