set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    24.94    75.36    75.86    28.98    10.83    86.39    41.81    72.57    84.72    35.82 
o2      24.94        0    54.69    51.67    10.24    17.03    65.02    42.13     48.5    63.51    10.88 
o3      75.36    54.69        0    51.58    60.18    64.59    75.03    93.31    51.44     9.55    47.18 
o4      75.86    51.67    51.58        0    47.41    68.68    23.46    67.16     3.44    53.66    41.32 
1       28.98    10.24    60.18    47.41        0    24.22    57.68    33.74    44.04    68.38    13.01 
2       10.83    17.03    64.59    68.68    24.22        0    81.55    46.17    65.52    73.98    27.53 
3       86.39    65.02    75.03    23.46    57.68    81.55        0    65.43    23.87    76.94    56.46 
4       41.81    42.13    93.31    67.16    33.74    46.17    65.43        0    63.88   101.01    46.45 
5       72.57     48.5    51.44     3.44    44.04    65.52    23.87    63.88        0    54.13    38.26 
6       84.72    63.51     9.55    53.66    68.38    73.98    76.94   101.01    54.13        0    55.41 
7       35.82    10.88    47.18    41.32    13.01    27.53    56.46    46.45    38.26    55.41        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    32.67   102.38    66.05    26.89    12.37    81.55    57.37    97.71     90.6    40.07 
o2      29.78        0    47.73    56.29    10.39       24    62.99    53.93    64.63       56    15.92 
o3      97.88    59.25        0    71.04    61.71    95.98    62.95   104.23    61.91     9.72    41.19 
o4      70.32    42.18    76.25        0    57.35    91.11    33.92    60.85     3.63    50.24    38.68 
1       40.65     9.24    52.05    58.42        0    29.92    75.64    44.76    64.45    84.63    11.31 
2        9.67    23.73    56.99   101.37    34.32        0   101.25    49.21    61.34    87.89    36.37 
3      127.04    89.59    94.36     34.6    75.64    101.5        0    87.02    19.54    99.09    65.79 
4       49.83    44.15   128.37    82.64    43.72     46.8    86.33        0    64.19      141    58.03 
5        96.5     56.8    65.66     2.92    40.24    71.52    35.25    62.22        0    51.39    46.26 
6      106.65    50.84    11.81    52.32    92.62    64.78   112.08   140.06    57.76        0    74.07 
7       41.15    10.58    44.87    35.13    19.46    29.57    78.87    43.77    47.27    49.92        0 
;

param d:       1    2    3    4 :=
1       0    9    0    0 
2       9    0    0    0 
3       0    0    0    7 
4       0    0    0   17 
5      15    0    0    0 
6       0   12    0    0 
7       0    0   10   14 
;
