set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0     94.5    48.36    11.07    42.14    43.34    76.71    51.74    82.41    11.63    64.55    83.07 
o2       94.5        0    72.48    89.88    57.52    68.84    79.62    52.62    61.54     84.2    42.14    79.72 
o3      48.36    72.48        0    37.68    52.53    65.52    28.92    20.66    94.69     46.7    66.67       35 
o4      11.07    89.88    37.68        0    42.43    47.33    65.77     43.4    85.44    15.82    64.37    72.18 
1       42.14    57.52    52.53    42.43        0    15.22    78.05     38.5     44.4    30.55    22.42    82.58 
2       43.34    68.84    65.52    47.33    15.22        0    92.22    53.29    39.14    32.32    28.25    97.03 
3       76.71    79.62    28.92    65.77    78.05    92.22        0    40.15   116.63    75.62     87.6     6.64 
4       51.74    52.62    20.66     43.4     38.5    53.29    40.15        0    76.85     45.4    48.02    44.24 
5       82.41    61.54    94.69    85.44     44.4    39.14   116.63    76.85        0    71.17    29.08    119.9 
6       11.63     84.2     46.7    15.82    30.55    32.32    75.62     45.4    71.17        0    52.96    81.65 
7       64.55    42.14    66.67    64.37    22.42    28.25     87.6    48.02    29.08    52.96        0    90.82 
8       83.07    79.72       35    72.18    82.58    97.03     6.64    44.24    119.9    81.65    90.82        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    90.02    51.85    13.21    53.82    36.25    65.87     54.8   104.08    14.17    61.94   117.55 
o2     125.74        0    68.83   120.73    58.09    81.83    75.07    60.41       52    94.24    51.04    76.41 
o3      64.59    68.25        0    46.93    70.29    62.58    28.53    21.12    89.84    41.42    94.03    41.09 
o4      15.09    85.22    34.87        0    46.99    47.47    88.62    34.96   110.69    21.72    86.37    86.81 
1       42.02    70.82    56.85    49.53        0    20.19   108.66    32.34    35.97    36.78    32.77    86.48 
2       49.88     62.5    98.06    38.76    20.17        0   102.12    72.36    49.87    41.53    26.98     90.9 
3       67.36    64.61    29.81    65.45    80.53   123.11        0    54.37   154.13    64.28   127.99     7.07 
4       69.21    43.32    22.11    60.13    49.13    57.58    52.88        0    90.12    41.52    54.54     55.8 
5       79.09    54.18   114.76   125.57    63.75    57.54   123.05    78.92        0   106.75    34.04   157.81 
6       11.95   121.29    68.32     13.7    34.32     42.1    91.84    65.68    95.79        0    68.61     86.7 
7       68.94    54.53    91.76    80.71    21.03    27.09       98    63.95    24.99    53.09        0    90.94 
8       81.67   116.44    37.41     89.4    86.14   102.44     8.57    55.76   127.72     95.5    79.86        0 
;

param d:       1    2    3    4 :=
1       0    0    8    0 
2       0    0    0   18 
3       7    0    6   13 
4       0    0    0   15 
5       0   11    0    0 
6       0    0    0   17 
7       0    0    0   10 
8       0   11    0    0 
;
