set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    49.31    64.82    37.67     9.96    23.11    45.87    53.58    44.44    61.76    62.14    20.52 
o2      49.31        0    16.29     64.8    58.07    26.23    22.97    31.79     58.9    17.84     60.8    68.99 
o3      64.82    16.29        0    75.18    73.11    41.77    28.56    33.12    66.76     9.63    63.44    84.85 
o4      37.67     64.8    75.18        0    32.75    45.36    47.06    47.47    14.32    67.77    35.27    47.07 
1        9.96    58.07    73.11    32.75        0    31.93    51.76    58.25    42.32    69.24     61.9    16.13 
2       23.11    26.23    41.77    45.36    31.93        0    26.97    36.69    44.74    39.37    55.59    43.12 
3       45.87    22.97    28.56    47.06    51.76    26.97        0    10.39    38.21     20.7    37.83    66.24 
4       53.58    31.79    33.12    47.47    58.25    36.69    10.39        0    36.13    23.78    30.37    73.51 
5       44.44     58.9    66.76    14.32    42.32    44.74    38.21    36.13        0    58.42    21.18    57.94 
6       61.76    17.84     9.63    67.77    69.24    39.37     20.7    23.78    58.42        0    53.96    82.19 
7       62.14     60.8    63.44    35.27     61.9    55.59    37.83    30.37    21.18    53.96        0    77.91 
8       20.52    68.99    84.85    47.07    16.13    43.12    66.24    73.51    57.94    82.19    77.91        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    72.49    84.33    32.26    13.23    19.41    44.46     54.4    58.47    85.91    54.28     23.6 
o2      39.93        0    14.66    70.21    60.83    27.65    24.59    33.27    49.82    17.58    57.38    90.19 
o3      75.35    18.83        0    94.56    91.74    49.53     29.4    40.13    59.93     9.66    70.83   113.69 
o4      44.94    57.22    77.22        0    32.63    61.71    48.12    61.77    19.42    81.53    43.79    44.69 
1        14.5    54.64     70.9    32.24        0    28.25    68.29    68.19    51.74    67.13    71.41    22.48 
2       31.58    23.42    46.55    51.24    45.84        0    33.01    46.92    64.97    40.92    47.46    36.84 
3       50.42    25.64    23.69    63.16    55.96    32.51        0     8.38    52.38    17.46    51.72    69.38 
4       58.92    43.21    30.14    50.27    60.33    32.52    13.07        0    33.31    27.09    25.01    79.56 
5       45.49    71.26    88.93    17.51    45.24    43.33    35.81    42.32        0    85.06    28.91    67.25 
6       54.23    17.64    10.98    61.72    77.15    37.32    22.68    30.56    77.12        0    44.66    77.95 
7       88.32    90.14    89.38    50.79    88.71    50.37    45.31    40.33    28.97    44.71        0   113.92 
8       29.15   102.78    76.47     51.6    18.43    48.27       84    72.24    76.24   120.59    70.08        0 
;

param d:       1    2    3    4 :=
1       6   18    0   11 
2       0    0    0   15 
3      16    0    0    0 
4      17    0    0    0 
5       0    0    0   10 
6       8    7   16   11 
7       0   18    0    0 
8      16    0    0   17 
;
