set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    76.35     16.3    29.36     67.4    43.65    77.22    39.04    27.68    30.01    71.24    68.95 
o2      76.35        0    80.57    55.37    36.94    64.07    60.74    64.66    51.69    49.08    22.87    79.45 
o3       16.3    80.57        0    26.36    63.76    33.41    68.55    28.88    28.88    31.49    70.77    56.01 
o4      29.36    55.37    26.36        0    38.43    19.34    48.65    16.05     7.25     8.61    44.42    45.94 
1        67.4    36.94    63.76    38.43        0    35.45    24.23    38.21    40.08    38.13    14.46    43.44 
2       43.65    64.07    33.41    19.34    35.45        0    35.19     4.65     26.4    27.02     46.8    26.74 
3       77.22    60.74    68.55    48.65    24.23    35.19        0    39.67    53.37    52.35    37.88    26.03 
4       39.04    64.66    28.88    16.05    38.21     4.65    39.67        0    23.29    24.27    48.65    30.83 
5       27.68    51.69    28.88     7.25    40.08     26.4    53.37    23.29        0     2.63    43.69    52.79 
6       30.01    49.08    31.49     8.61    38.13    27.02    52.35    24.27     2.63        0    41.26    53.05 
7       71.24    22.87    70.77    44.42    14.46     46.8    37.88    48.65    43.69    41.26        0    57.82 
8       68.95    79.45    56.01    45.94    43.44    26.74    26.03    30.83    52.79    53.05    57.82        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    83.57       22    35.02    60.39    46.55   112.82    52.74    25.16    33.67    74.33    60.93 
o2      68.27        0   115.61    76.42    55.08    71.15     52.7    55.26    48.22    61.32    27.51    75.98 
o3      20.33    76.22        0    28.16    62.89    39.12    97.88    24.75    27.16     40.2    99.77    60.93 
o4      31.67    68.17    23.46        0     33.7    22.16    60.61    24.07     7.12     7.46    40.04    65.87 
1       89.07    53.49    60.27       44        0    33.58    35.12    37.21    55.48     54.6    16.25    55.63 
2       51.28    89.36    38.26     16.8    50.45        0    38.04     6.57    29.27    36.55    63.83    22.83 
3        68.8    85.53    93.86     72.8    25.82    44.83        0    44.71    77.12    46.65    33.39    30.39 
4       34.78    69.96    42.76    21.61    34.98     5.28    56.11        0    21.09    24.12    39.66    39.89 
5       27.15     60.8    43.07     7.46    33.62    33.04    44.69    32.21        0     2.54    56.95    62.92 
6       25.56     61.6    46.89    10.11    35.44    30.64    43.76    32.48     2.97        0    61.57    55.13 
7       78.59     24.1    58.25    53.17    15.25    57.75    42.69    49.22    60.35    47.82        0     67.8 
8       87.98    72.95    71.36    52.55    35.15    39.76    28.96     28.1    62.95    68.59    55.36        0 
;

param d:       1    2    3    4 :=
1      13    0    0    0 
2       0    8    0    0 
3      13    0    0    0 
4       0    0    9    0 
5       0    0    0    9 
6       0    0   18    0 
7       0    0   10    0 
8       0   11    6    0 
;
