set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    57.31    71.41    41.99    59.31    19.13     71.7    99.27    75.06    39.92    56.78    79.57 
o2      57.31        0    31.48    15.36    54.36    39.72    70.21    44.21    46.91    28.47     25.1    26.52 
o3      71.41    31.48        0    38.83    85.35    52.43   101.41    35.35    77.76    56.88    14.62    49.36 
o4      41.99    15.36    38.83        0    48.64    24.97    64.92    58.83    48.82    18.47    27.01    39.15 
1       59.31    54.36    85.35    48.64        0    57.29    16.29    92.76    25.12    30.67    75.38    54.56 
2       19.13    39.72    52.43    24.97    57.29        0    72.22     80.4    66.83    30.09    37.83    64.01 
3        71.7    70.21   101.41    64.92    16.29    72.22        0   106.82    33.39    46.87    91.65    67.36 
4       99.27    44.21    35.35    58.83    92.76     80.4   106.82        0    75.89    72.03     46.7    40.33 
5       75.06    46.91    77.76    48.82    25.12    66.83    33.39    75.89        0    36.78    71.63    35.58 
6       39.92    28.47    56.88    18.47    30.67    30.09    46.87    72.03    36.78        0    45.48    42.29 
7       56.78     25.1    14.62    27.01    75.38    37.83    91.65     46.7    71.63    45.48        0    49.02 
8       79.57    26.52    49.36    39.15    54.56    64.01    67.36    40.33    35.58    42.29    49.02        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    50.87    80.77    53.78    75.77    16.45    57.82    87.12   104.21    48.03     63.5    84.69 
o2      71.04        0    27.67    19.18    74.48    56.83    92.99    35.39    57.33    39.29    37.52    24.84 
o3      84.41    32.64        0    34.97   107.76    63.45    87.78    38.78    98.97     66.5    13.59    63.52 
o4      58.34    13.03    55.03        0    66.36    35.87    75.72    66.58    69.52    20.86    38.71    57.98 
1       62.98    78.36   122.69    56.23        0    57.43     23.6   136.39    24.09    30.59    98.89    56.51 
2        25.9    58.27     49.5       35    79.72        0    90.05    66.34    92.93    34.46    53.27     78.9 
3       89.21    66.13    143.4    75.89    16.46     67.9        0   105.68    31.91    65.52    82.04    87.05 
4      127.64    59.27     35.4     78.2   137.76   116.88    92.26        0   106.29    96.05    50.18    54.29 
5       86.19     66.7    67.87    46.99    24.96    94.11    34.59    89.39        0    42.13    68.97    44.81 
6       58.27    38.68    55.29     26.4    35.37     28.5    46.08    61.79    41.21        0    47.76    46.66 
7       54.33       25     21.1    22.91    67.77    32.16    98.98    63.67     67.5    38.48        0    50.59 
8       85.74    39.67    45.91    54.03    58.28    92.31    96.26    56.75    39.02    35.33    43.39        0 
;

param d:       1    2    3    4 :=
1       9   18   10    0 
2       0   11    0    0 
3       0    6    9   17 
4       0    6    0    0 
5       0    0    0    9 
6       0    0    0    5 
7       0    0    0   13 
8       8    0    0    0 
;
