set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    83.81    45.88    96.01    81.14    74.08    72.32    77.09    46.21    43.56   117.68    75.14 
o2      83.81        0    57.47    20.89     9.51    28.13    19.79    56.35    46.28    73.21    35.45    52.05 
o3      45.88    57.47        0    60.72    60.16    64.79    39.04    31.21    50.02     69.3    92.52    29.42 
o4      96.01    20.89    60.72        0    30.28    49.02    23.74    48.24    64.53    92.09    37.98    44.68 
1       81.14     9.51    60.16    30.28        0    18.84    25.82     63.3    40.19    66.12    36.55     58.9 
2       74.08    28.13    64.79    49.02    18.84        0    39.37    75.65    28.48    50.53    48.64    71.23 
3       72.32    19.79    39.04    23.74    25.82    39.37        0    37.51    44.98    72.47    53.69     33.1 
4       77.09    56.35    31.21    48.24     63.3    75.65    37.51        0     71.8    95.83    85.81     4.44 
5       46.21    46.28    50.02    64.53    40.19    28.48    44.98     71.8        0    27.67    75.51    67.86 
6       43.56    73.21     69.3    92.09    66.12    50.53    72.47    95.83    27.67        0    99.16    92.27 
7      117.68    35.45    92.52    37.98    36.55    48.64    53.69    85.81    75.51    99.16        0       82 
8       75.14    52.05    29.42    44.68     58.9    71.23     33.1     4.44    67.86    92.27       82        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    85.08    58.68    79.58   109.86    90.68    69.25    72.66    53.69    63.16    99.96    92.65 
o2       90.6        0    70.54    19.76    13.51    41.91    24.94       47    42.69    75.76    42.68     65.4 
o3      48.23    81.17        0    53.86    69.81    56.52    39.21    39.18    74.66    83.38   106.61    24.16 
o4      86.69    21.47    69.38        0    36.36    53.47     27.5    60.75    86.88   125.68    49.98    45.74 
1        83.2    13.32    67.21    35.35        0    23.62    24.17    52.84    47.61    67.48    46.19    84.34 
2      100.42    33.88    54.43     39.4    27.46        0     52.3    87.07    35.67    62.45    42.31     88.9 
3       77.62    28.17    57.74    30.94    31.93    47.01        0    36.43    40.37     68.2    69.04    46.98 
4      106.34    75.76     30.6     66.3    83.34    80.21    30.98        0   105.97   132.74    97.12     5.84 
5       42.47     64.4    69.92    83.36    58.26    38.15    50.14    72.04        0    36.86    68.59    73.45 
6       65.29     99.9    62.41   126.61    86.09    65.72     83.9    98.53    26.29        0   147.72    80.07 
7      115.65    43.01    94.06    46.88    47.79    39.55    69.45   114.06      106   125.39        0   103.85 
8       79.27    48.06    37.13    42.52    61.75    68.75    28.08     6.12    95.45    73.89    110.2        0 
;

param d:       1    2    3    4 :=
1      12   15    0   12 
2      16   10    8   15 
3       0    0    0   10 
4       0    0   14    0 
5       0   14    0    0 
6       8    0    0    0 
7       0    0    0   15 
8       0    6    0    0 
;
