set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0     37.9    73.71    62.74     4.84    23.87    76.28     82.6    44.74       10    59.22     80.7 
o2       37.9        0    71.47    25.67    34.86    41.84    47.97    64.58    31.52    44.98     56.8    45.01 
o3      73.71    71.47        0    87.41    69.29     50.4    52.09    31.59   101.36    68.98    15.25    74.09 
o4      62.74    25.67    87.41        0    60.16    66.92    47.72    71.33    37.58    70.45    74.38    32.64 
1        4.84    34.86    69.29    60.16        0    20.02    71.67    77.76    45.18    10.46    54.67    76.71 
2       23.87    41.84     50.4    66.92    20.02        0    63.94    63.81     61.8    18.73    36.58    74.83 
3       76.28    47.97    52.09    47.72    71.67    63.94        0    25.89    77.74    78.46    45.39       23 
4        82.6    64.58    31.59    71.33    77.76    63.81    25.89        0    96.04    81.59    32.25    48.78 
5       44.74    31.52   101.36    37.58    45.18     61.8    77.74    96.04        0    54.69    86.25    68.74 
6          10    44.98    68.98    70.45    10.46    18.73    78.46    81.59    54.69        0    55.31    85.47 
7       59.22     56.8    15.25    74.38    54.67    36.58    45.39    32.25    86.25    55.31        0    65.33 
8        80.7    45.01    74.09    32.64    76.71    74.83       23    48.78    68.74    85.47    65.33        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    55.06     97.3     74.1     3.88    21.11    84.17   121.79    50.93     14.8    69.49    92.53 
o2      44.81        0     69.5    31.93    37.47    47.22    64.88    64.86    28.21    52.74    71.39    56.52 
o3      94.16    98.73        0   117.43    70.17    74.95    71.46    41.41    89.85    87.98    12.38   106.43 
o4      77.62    25.61   100.31        0    88.21    59.64     66.4   106.93    48.32    84.86   101.99    44.61 
1        7.12    44.32    94.64    66.46        0    24.43    85.79    81.27     43.6    13.89    71.44    62.32 
2       27.65    43.62    71.97    60.98    28.18        0    54.55    55.56    82.02    23.47    50.94    73.35 
3       82.25    54.62    49.51    51.59   100.81    63.39        0    37.11   107.14    65.04    65.11    32.53 
4      101.55     57.8    29.37    79.83    92.82    51.48    37.15        0   129.23   119.29    41.16    63.34 
5       58.11    41.39   117.41    34.97    43.88    88.99   106.18   143.16        0    73.81    72.01    56.57 
6       12.55    44.75    82.43    64.21    13.37     20.2   108.38   109.81    66.37        0    54.59    91.48 
7       83.26    64.97     18.3    78.11    79.35    40.36    67.12    46.98    82.74    75.48        0    88.27 
8       79.71       52    72.84    44.87    79.36   103.42     29.6    43.52    83.37    85.42    94.84        0 
;

param d:       1    2    3    4 :=
1       0    0    0   11 
2       0    0    7    0 
3       0    0   17    0 
4       0   17    0    0 
5      12    0    0    0 
6       9    0    0    0 
7      16    0    0    0 
8       0    0    0   13 
;
