set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    36.25    22.63    50.37    15.42    23.27    72.13    35.56    51.62    80.86    26.22    72.98 
o2      36.25        0    58.77    33.26    25.46    56.99    68.75    68.49    70.52    66.49    58.72    78.41 
o3      22.63    58.77        0    70.29    35.46    10.74    84.94    24.22    53.37    97.74    20.06    81.01 
o4      50.37    33.26    70.29        0    49.34    73.53    36.97    68.21    54.17    33.69    60.04    50.21 
1       15.42    25.46    35.46    49.34        0    31.93    77.81    50.98    64.41    82.38    41.61    81.94 
2       23.27    56.99    10.74    73.53    31.93        0    92.04    34.96    63.14   103.05    30.15    89.65 
3       72.13    68.75    84.94    36.97    77.81    92.04        0     71.7    42.42    22.75    67.59    18.55 
4       35.56    68.49    24.22    68.21    50.98    34.96     71.7        0    33.17    88.81     9.79    63.43 
5       51.62    70.52    53.37    54.17    64.41    63.14    42.42    33.17        0    63.06    33.34    30.74 
6       80.86    66.49    97.74    33.69    82.38   103.05    22.75    88.81    63.06        0    82.97    41.15 
7       26.22    58.72    20.06    60.04    41.61    30.15    67.59     9.79    33.34    82.97        0    61.75 
8       72.98    78.41    81.01    50.21    81.94    89.65    18.55    63.43    30.74    41.15    61.75        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    35.55    32.77    57.83    19.11    30.08    83.72    52.59    65.25    72.48    36.06    73.74 
o2      35.99        0    58.31    41.02    32.06    62.74    63.16    88.86    99.45    65.96    50.71   103.11 
o3      18.19    51.37        0     82.3     29.4    13.07    90.17    31.38     72.5    85.39     25.8   104.62 
o4      64.56    27.32    73.33        0    65.86    95.78    55.04    100.3    45.45    38.02    73.83    59.68 
1       21.39    23.42    51.15    53.96        0    30.35    97.08    49.31    93.72   112.81     41.1   118.78 
2       27.36    48.53     10.7   107.78    37.04        0   127.86    52.38    55.26   124.92    24.99   124.56 
3       82.88    96.84    91.13    48.01   116.61   113.79        0   102.39    45.15     32.9    54.63    23.33 
4       44.54    56.93    36.22    86.13    50.16    30.52    81.56        0    29.34   115.68     9.44    71.06 
5       71.83    59.14    69.93    66.12    93.57    84.27    45.19    31.38        0    50.65    34.51    33.03 
6       96.21    57.73   111.13    37.99    88.11    93.16    19.31   130.68     82.7        0   110.54    41.15 
7       34.85    59.86    17.04    88.54    48.55    39.17    84.85    11.91     33.4    77.65        0    81.89 
8       58.99    98.32   103.05    41.04    83.45     72.6    19.17    75.98    35.89    49.36    75.15        0 
;

param d:       1    2    3    4 :=
1      10    0   19    0 
2      10    0    0   10 
3       0    0    8    0 
4       0    0    0    5 
5       0    0    0   18 
6       0    0   19    0 
7       0   16   17    0 
8       0    0    0    5 
;
