set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    23.82    27.95    16.79    70.48    26.16    48.79    71.68    62.97    58.74    68.54    76.39 
o2      23.82        0    17.24    15.88    60.42    45.94    54.15    65.61    50.09    37.66    44.93    52.75 
o3      27.95    17.24        0    29.89    44.74    40.13    38.39    48.77    66.83    32.82    47.09     59.4 
o4      16.79    15.88    29.89        0    74.57    42.91    61.19    78.38     46.3    53.39    58.62    63.55 
1       70.48    60.42    44.74    74.57        0    69.75    40.38    12.34   104.86    39.55     58.4    75.48 
2       26.16    45.94    40.13    42.91    69.75        0    35.02    66.36    89.12    72.65    86.93    97.74 
3       48.79    54.15    38.39    61.19    40.38    35.02        0    33.49   104.18    60.62    79.45    94.47 
4       71.68    65.61    48.77    78.38    12.34    66.36    33.49        0   112.61    50.36    69.71    86.71 
5       62.97    50.09    66.83     46.3   104.86    89.12   104.18   112.61        0    69.29    59.69     51.2 
6       58.74    37.66    32.82    53.39    39.55    72.65    60.62    50.36    69.29        0    19.74    36.47 
7       68.54    44.93    47.09    58.62     58.4    86.93    79.45    69.71    59.69    19.74        0    17.09 
8       76.39    52.75     59.4    63.55    75.48    97.74    94.47    86.71     51.2    36.47    17.09        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    31.01    31.58    14.25    62.97    31.01    69.96    63.25    80.19    73.53    58.94   110.73 
o2      32.55        0    15.56    16.24    67.13    48.08    43.37    77.04    70.51    33.14     44.7    44.45 
o3      31.12    15.13        0    28.58     36.5    50.33     31.1    49.99    57.35    45.07    45.12    69.17 
o4      19.46    13.69    36.53        0    63.97     55.7    59.75    96.99    66.68    66.68    75.61       67 
1        74.9    88.41    58.86   110.67        0    77.88    53.36    13.35   152.75    58.37    61.23    81.32 
2       27.93    68.81    51.36    51.52    85.67        0    50.15    73.94   100.25   103.17     84.1   108.27 
3       67.84    80.24    36.61    86.79    57.41    46.26        0    27.85   114.05    77.31    73.12   110.25 
4       98.15    82.33    63.25    114.5    18.08    61.53    34.08        0   118.26    53.97    71.88    74.67 
5       62.75    47.31     82.8    62.18    91.16   120.23    86.98      144        0    62.46    60.62    70.28 
6       67.46    45.91    44.69    50.03    47.12    91.77    88.81    64.47    90.73        0    18.64    48.05 
7       95.32    52.01    59.41    81.96    81.48    85.24    110.1    71.08    54.14    26.79        0    21.78 
8      114.58    66.29    78.05    65.05    77.08    81.51    93.99    99.77    42.21    36.81    22.87        0 
;

param d:       1    2    3    4 :=
1       0    0   16    0 
2      17    0    0    0 
3       0    0    9    0 
4       0    0    7    0 
5       0   18    0    0 
6      17    0   14   19 
7       0    0    0    8 
8      12    0    0    0 
;
