set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    27.69    84.06    90.37     23.2    84.94    72.71    39.57    60.29    22.26    68.74   110.32 
o2      27.69        0    56.51    62.95     7.69    59.07    55.94    39.58    34.89    19.94    55.61    86.61 
o3      84.06    56.51        0    18.24     61.3    18.61    64.68    82.56    28.61    68.78    72.47    58.87 
o4      90.37    62.95    18.24        0    69.17    36.69    54.13    80.46    43.08    78.69    63.22    40.73 
1        23.2     7.69     61.3    69.17        0    61.78    63.37    43.61    37.15    12.31     62.6    94.14 
2       84.94    59.07    18.61    36.69    61.78        0    80.34    91.68    24.65    66.17    87.17    77.41 
3       72.71    55.94    64.68    54.13    63.37    80.34        0    41.04    68.26    75.63    10.03     45.4 
4       39.57    39.58    82.56    80.46    43.61    91.68    41.04        0    70.37    52.97     33.7    85.38 
5       60.29    34.89    28.61    43.08    37.15    24.65    68.26    70.37        0    41.96    72.86    79.59 
6       22.26    19.94    68.78    78.69    12.31    66.17    75.63    52.97    41.96        0    74.58   105.82 
7       68.74    55.61    72.47    63.22     62.6    87.17    10.03     33.7    72.86    74.58        0    54.93 
8      110.32    86.61    58.87    40.73    94.14    77.41     45.4    85.38    79.59   105.82    54.93        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0     40.5   103.41    86.69    21.13   103.22   104.34    52.13    80.86    18.05    58.09    96.86 
o2      30.15        0    70.57    70.18     9.06    83.46    77.49    46.96    49.73     29.8    53.65    73.84 
o3     106.41    56.99        0    20.71    59.19     16.8    93.07    85.55    42.89    57.29     72.8    52.55 
o4     117.46       94    22.99        0    65.48    33.93     74.3    75.81    57.57    94.44    59.76    61.02 
1       26.83     9.57    50.75    74.14        0    71.88    89.18    42.91     34.8    17.65    89.91    93.23 
2       95.78    77.73    18.15     34.1    82.93        0       94    76.88    36.02    90.36    76.41     83.2 
3       70.78    68.25    56.62    44.63    88.48   111.15        0    59.49    87.45   110.21     8.34    56.53 
4       52.91    50.56   104.09   117.77    55.89     80.3    42.09        0   100.94    53.08    40.47   114.32 
5        51.2    41.31    29.37    50.95    42.07    27.74    73.27    63.92        0    39.98    71.68    82.62 
6       20.63    21.94    88.56    73.09    12.08    66.71    75.49    55.99    39.48        0    89.22    128.3 
7        69.5     65.2    87.23    93.95    81.97    75.76     9.22     47.5    63.17    107.3        0    65.33 
8      111.71    98.75    63.11    48.73   128.36    79.53    45.18    97.74    69.03    87.74    68.95        0 
;

param d:       1    2    3    4 :=
1       0   13    0    0 
2      19    0    0    6 
3      12   14    0   11 
4       0    6    0    0 
5       0    0    6    0 
6       0    0    5    0 
7       0    0    5    0 
8       0    0   16   19 
;
