set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    40.99    73.55     4.35    49.87    44.76    75.52    71.11    37.32    80.63    21.05    61.72 
o2      40.99        0    46.48    38.74    32.47     4.44    80.22    66.92    42.46    64.03    45.56    22.92 
o3      73.55    46.48        0    73.79    24.32    47.38     58.3    39.99    45.42    23.47    63.25    30.42 
o4       4.35    38.74    73.79        0    50.56    42.29    78.79    73.61    39.78     82.1    24.73    60.18 
1       49.87    32.47    24.32    50.56        0    35.41    49.86    34.82    22.53    33.27    39.06    30.43 
2       44.76     4.44    47.38    42.29    35.41        0    83.88    70.12    46.65    66.06    49.97     21.4 
3       75.52    80.22     58.3    78.79    49.86    83.88        0    18.38    40.87    39.82    54.71    79.56 
4       71.11    66.92    39.99    73.61    34.82    70.12    18.38        0    33.83    22.33    52.05    62.96 
5       37.32    42.46    45.42    39.78    22.53    46.65    40.87    33.83        0    45.22    19.72    50.15 
6       80.63    64.03    23.47     82.1    33.27    66.06    39.82    22.33    45.22        0    64.94     52.6 
7       21.05    45.56    63.25    24.73    39.06    49.97    54.71    52.05    19.72    64.94        0    60.66 
8       61.72    22.92    30.42    60.18    30.43     21.4    79.56    62.96    50.15     52.6    60.66        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    56.24    64.33     5.31    46.82    57.71    98.46    61.14    36.64   120.92    26.22    58.21 
o2      44.91        0     47.3    49.87    43.57     3.91    71.21    98.67    55.27    64.23    44.17    26.78 
o3     104.57    44.66        0    60.35    31.37    39.71    84.45    34.04    53.64    32.62    65.33    27.88 
o4       3.48    51.69   104.56        0    75.36    34.62    84.95    84.67    34.77    69.24    35.72    83.25 
1       71.44    33.82    28.67    61.11        0    50.67    57.67    28.37    21.13     45.7    32.08    33.08 
2       41.82     4.55    39.06    40.17    31.91        0     81.1   100.33    62.23    80.64    74.27    19.39 
3       67.77   120.11    67.86    76.42    71.43    72.82        0    23.21    60.84    41.67    48.58    100.5 
4       79.76     81.4    54.45    59.52    31.01    64.99    19.75        0    49.14    21.28    59.84     92.4 
5       34.06    47.21    48.21    52.24    22.27    62.47    51.59     35.3        0    63.28    16.62    58.59 
6       79.25    82.56    21.72    74.64    35.16    62.65    55.21     25.4    66.28        0    94.38    43.41 
7       22.91    61.54    62.96    24.85    33.36     67.3    69.41    50.24    24.83    94.57        0    87.12 
8       79.89    25.59    33.25    84.28    26.97    28.83    95.56    68.43    63.18    52.35    63.63        0 
;

param d:       1    2    3    4 :=
1       0   11   14    0 
2       0    0   15    0 
3      10    6    0   13 
4       0    0   17    0 
5       0   12    0    0 
6       0   16    0    0 
7       0    0   10   12 
8       0    8    0    0 
;
