set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    29.25    42.99    46.69    82.04    75.84    66.19    19.12    25.53    13.03    29.53     4.14 
o2      29.25        0    14.01    29.04    85.25    73.04    61.59    35.97    49.25    34.22    20.73    33.12 
o3      42.99    14.01        0    31.61    87.01    72.49     60.9    46.85    60.94    48.13    26.27    46.74 
o4      46.69    29.04    31.61        0   114.29   101.72    90.18    60.84    71.63    42.72    49.75    50.71 
1       82.04    85.25    87.01   114.29        0    18.73    28.06    63.14    65.25    94.97    64.57    80.84 
2       75.84    73.04    72.49   101.72    18.73        0     11.6     58.3    64.51    88.81    53.16    75.57 
3       66.19    61.59     60.9    90.18    28.06     11.6        0    49.65    57.76    79.02       42    66.31 
4       19.12    35.97    46.85    60.84    63.14     58.3    49.65        0     14.5    31.88    23.43    17.72 
5       25.53    49.25    60.94    71.63    65.25    64.51    57.76     14.5        0    35.46    37.89    22.04 
6       13.03    34.22    48.13    42.72    94.97    88.81    79.02    31.88    35.46        0    40.63     14.4 
7       29.53    20.73    26.27    49.75    64.57    53.16       42    23.43    37.89    40.63        0    31.61 
8        4.14    33.12    46.74    50.71    80.84    75.57    66.31    17.72    22.04     14.4    31.61        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    25.77    40.98     69.8   103.02   103.65    81.34    15.64    37.89    18.19    43.09     3.47 
o2      26.84        0    18.62       35    81.71     75.1    49.82    48.06    41.92    28.97    28.96    37.01 
o3      60.84    14.85        0    39.69    86.25    73.17    64.48    48.49    48.82    46.39    39.34    38.53 
o4      49.53    30.52    39.93        0   142.05    91.54     90.6    72.58    90.58    62.73    57.93    73.08 
1       75.78    79.86   107.24    126.5        0    16.91    23.73    72.84    77.57   120.82    70.52     76.9 
2      107.64    75.35   101.63   149.38    15.91        0    17.15    51.94    67.86    73.79    71.42   107.94 
3       82.72    54.99    66.99    90.81    26.84    14.96        0    59.07    68.56    92.17    39.21    72.02 
4       17.54    49.55    65.19     51.3    86.39    71.18    53.51        0    15.92    32.84    33.51     15.7 
5       24.78    62.44    78.77   104.24     87.9    73.38     54.4    20.18        0    51.84    50.77    32.62 
6       17.32    47.07    61.16    62.07   114.96    77.54    91.12    25.85    41.76        0    34.91    14.21 
7       40.69     27.4    32.94    74.61    80.22    73.61    40.79    23.47     44.1    57.88        0    33.35 
8        3.57    31.24    42.34    56.41   112.75   110.43    77.39    17.45    21.29    15.95    47.41        0 
;

param d:       1    2    3    4 :=
1       0    0    0   19 
2       0    0    0   19 
3       0   12    0    0 
4      12    0    0    0 
5       0   12   19    0 
6       0    0    0   14 
7       0   12    0    0 
8       6    5   16    0 
;
