set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0     51.5   107.87    27.24    36.18    28.02    27.19    19.92    76.12    81.37    72.66    92.87 
o2       51.5        0    56.39    47.92     53.6     74.4     36.3    31.85    28.32    30.25    55.59    41.82 
o3     107.87    56.39        0   100.92   103.98   129.99    90.05    88.09    36.72    27.89    83.73    16.51 
o4      27.24    47.92   100.92        0     9.53    31.58    11.66    29.12    76.17    73.04    47.34    88.36 
1       36.18     53.6   103.98     9.53        0    34.56    18.92    38.31    81.88    76.17    41.95    92.45 
2       28.02     74.4   129.99    31.58    34.56        0    40.52    45.68   101.27   102.39    76.48   116.17 
3       27.19     36.3    90.05    11.66    18.92    40.52        0    20.87    64.52    62.25    45.83    77.07 
4       19.92    31.85    88.09    29.12    38.31    45.68    20.87        0    56.32    61.99    64.08    72.97 
5       76.12    28.32    36.72    76.17    81.88   101.27    64.52    56.32        0    23.88    77.25    20.23 
6       81.37    30.25    27.89    73.04    76.17   102.39    62.25    61.99    23.88        0    60.09    18.16 
7       72.66    55.59    83.73    47.34    41.95    76.48    45.83    64.08    77.25    60.09        0    78.22 
8       92.87    41.82    16.51    88.36    92.45   116.17    77.07    72.97    20.23    18.16    78.22        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    75.95    93.73    26.72    41.25    34.08    39.13    24.32    99.56    83.12    90.43   135.04 
o2      52.13        0    69.47    58.63    52.88    65.89    51.42    40.85    38.01    37.11    78.29    60.61 
o3     159.38    49.12        0    99.99   103.52   114.17   107.51    88.76    44.36    35.82    80.22    16.47 
o4       24.8    52.02    138.2        0    13.08    28.22    13.23    29.76   112.35   105.21     51.2    89.87 
1       50.76    48.06    101.6    12.05        0    45.23     24.2    33.18    70.22    88.04     49.1   126.26 
2       28.38    96.77   110.03    31.11    43.72        0    32.59    47.83   108.41   104.13     65.4    158.8 
3       39.44    41.25   104.52    10.29    27.62    34.17        0    29.68    84.36    57.71    39.81    66.23 
4       17.47    46.86    96.35    26.65    37.14    59.17    26.64        0    52.15    65.57    82.39    75.01 
5       69.17    31.28    49.99    75.03    99.88   134.97    73.38    45.97        0    30.06    67.03    28.51 
6       75.89    25.75    37.22   109.42    70.19    94.76    67.95    64.35    33.84        0     89.6    23.79 
7       65.03    68.27    67.43    64.76    37.65   106.25    63.66    87.67    79.39    50.67        0   116.15 
8      136.14    34.93    22.65    98.84    85.15    107.2    93.39   104.05    24.29    22.78    90.26        0 
;

param d:       1    2    3    4 :=
1       0    0    0   12 
2       5    0    0    0 
3       6   10    0    0 
4      19   12    0    0 
5      13    0    0   14 
6       0   18   12    0 
7       0   18   12    0 
8       0    6    0    0 
;
