set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    63.86    16.02    32.13    33.55    57.11    36.06    54.14    44.02    23.84    60.25     47.8 
o2      63.86        0    78.81    92.32    61.32    38.76     59.2    72.92    67.31    62.77    75.24    20.17 
o3      16.02    78.81        0    16.62    46.02    72.79    49.08    53.92    44.67     26.3    60.14    61.47 
o4      32.13    92.32    16.62        0    62.37    89.21    65.52    52.88    45.56    32.68    58.69    73.72 
1       33.55    61.32    46.02    62.37        0     34.5     3.63     84.1    74.05    55.08    89.79    54.96 
2       57.11    38.76    72.79    89.21     34.5        0    31.06    92.62    83.93    70.09    96.98    44.76 
3       36.06     59.2    49.08    65.52     3.63    31.06        0    85.46    75.47    56.87    91.03    53.95 
4       54.14    72.92    53.92    52.88     84.1    92.62    85.46        0    10.16    30.31     6.24    53.65 
5       44.02    67.31    44.67    45.56    74.05    83.93    75.47    10.16        0    20.22    16.22    47.39 
6       23.84    62.77     26.3    32.68    55.08    70.09    56.87    30.31    20.22        0    36.43    43.02 
7       60.25    75.24    60.14    58.69    89.79    96.98    91.03     6.24    16.22    36.43        0    56.57 
8        47.8    20.17    61.47    73.72    54.96    44.76    53.95    53.65    47.39    43.02    56.57        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    57.85    21.48    27.76    34.36    65.65    48.06    46.76       62    20.92     85.8    61.72 
o2       74.6        0    70.47    94.88    82.53    45.86    49.73   106.72     93.8    70.15   105.45    25.12 
o3      15.37   109.88        0    19.01    40.39    67.36    63.97    64.35    65.36    28.87    79.96    50.23 
o4      35.13   126.37    15.82        0    88.46    93.94    73.96    67.53    64.03    27.14    57.86    65.49 
1       37.87    62.49    65.14    84.06        0    38.17     5.13   113.71    60.02    59.35    73.11    58.64 
2       47.83    34.18     77.7   123.77    36.81        0    43.95    81.26   109.53    97.14   108.34     39.9 
3       29.01    83.62    73.04    69.75     4.12    25.25        0    72.77   109.08    52.35   131.92    79.41 
4       60.66    65.18    56.84    70.54    95.98   107.89   122.16        0    14.51    43.85     8.14    78.85 
5       63.77    91.58    50.36    52.87   103.41   105.52     84.2      8.6        0    16.28    16.68    44.12 
6       24.65    53.45    25.18    33.19    50.23    92.56    69.23    29.99    16.55        0    31.47    47.26 
7        53.3     71.5     60.6    73.03    108.6    84.33      112     5.82    21.63    39.12        0    73.64 
8       51.69    20.47    82.76    95.87    47.15    49.43    52.87    55.66    46.99    43.05    77.84        0 
;

param d:       1    2    3    4 :=
1      15    0   11    0 
2       0    0   14    0 
3       0    0    0    9 
4      19    8    0    0 
5       0   13    0    0 
6      11   12    0    0 
7       0    0   19    0 
8       7    0    0    0 
;
