set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    84.75    39.67    86.39    63.58    33.22     6.83     7.51    28.92     61.8     78.5    32.03 
o2      84.75        0    63.14     9.29    45.46    54.13     86.8    80.78    66.57    23.63     6.27    57.28 
o3      39.67    63.14        0    60.73    26.48    38.38    36.79    32.33    48.17     40.7    57.36    41.42 
o4      86.39     9.29    60.73        0    40.07    57.69    87.74    81.74    70.91    24.68    11.43    61.18 
1       63.58    45.46    26.48    40.07        0    49.18    61.98     56.8    62.55    29.68    41.08    53.18 
2       33.22    54.13    38.38    57.69    49.18        0    37.41    31.96    14.08    33.59    48.12     4.07 
3        6.83     86.8    36.79    87.74    61.98    37.41        0     6.02    34.91    63.44    80.53    36.81 
4        7.51    80.78    32.33    81.74     56.8    31.96     6.02        0    30.97    57.42    74.51     31.7 
5       28.92    66.57    48.17    70.91    62.55    14.08    34.91    30.97        0    47.31     60.8    10.09 
6        61.8    23.63     40.7    24.68    29.68    33.59    63.44    57.42    47.31        0    17.42    37.32 
7        78.5     6.27    57.36    11.43    41.08    48.12    80.53    74.51     60.8    17.42        0    51.36 
8       32.03    57.28    41.42    61.18    53.18     4.07    36.81     31.7    10.09    37.32    51.36        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0   104.27    49.07    97.39    55.28    45.06     7.21     10.4     27.5     82.4     63.8    40.03 
o2     104.51        0    79.35    10.06    48.53    69.77   113.84       97    54.06    29.26     5.35    48.35 
o3      52.75    63.11        0     51.9    29.07    41.42    49.41    44.55    51.13    50.94    69.47    55.26 
o4      83.09     11.8    82.59        0    45.24    53.71    83.31    114.1    62.06    28.13     16.7     80.1 
1       80.17    61.77    24.14    33.84        0    57.35    51.79    72.44    54.55    27.74    33.21    78.18 
2       30.17    63.76    38.07     85.9    59.83        0    43.79    37.74    13.42    27.07    72.11     3.51 
3         7.1    94.55    39.99    79.55    84.08    34.02        0     6.58    30.45    67.75    79.35    42.12 
4       10.76   111.03    29.02    71.87    58.44    35.05     5.44        0     39.8    84.69    83.81    29.84 
5       42.14    90.66    48.06    76.79    51.45    18.86    48.81     39.4        0    39.91    70.07    10.74 
6       91.66    21.71    32.94    34.23    24.09    44.86    55.25    53.52    50.56        0    17.66    54.81 
7        68.4     6.48    57.54    15.41    42.86    71.62    64.66    79.71     60.4    20.29        0    52.79 
8       35.19     78.4    36.71    91.74    71.75     3.56    49.78    34.89     12.8    32.05    57.58        0 
;

param d:       1    2    3    4 :=
1       0    7    0    0 
2       0    0   15    0 
3       0   19    0   19 
4      12    0    0    0 
5       8    0   17    0 
6      18    0   17    0 
7       0    0   10    0 
8      16    0    0    0 
;
