set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0       55    48.38    21.37    57.78    54.15    50.53    56.75    38.24    78.76    70.78    30.34 
o2         55        0    65.19    49.21    96.66    40.57    85.23   104.78    24.25    35.66    33.38    27.18 
o3      48.38    65.19        0    28.24    37.42     30.7    25.49    54.17    41.55    64.25    54.83    58.87 
o4      21.37    49.21    28.24        0    48.68    34.76    38.32    55.63    26.24    63.85    54.93    33.71 
1       57.78    96.66    37.42    48.68        0    67.68    12.11    21.24     72.5   101.39    91.91    81.83 
2       54.15    40.57     30.7    34.76    67.68        0    55.58    82.23    23.32    33.71    24.23    46.87 
3       50.53    85.23    25.49    38.32    12.11    55.58        0    29.86       61     89.3    79.81    71.95 
4       56.75   104.78    54.17    55.63    21.24    82.23    29.86        0    81.68   115.52   106.05    85.27 
5       38.24    24.25    41.55    26.24     72.5    23.32       61    81.68        0    40.53    32.88    23.62 
6       78.76    35.66    64.25    63.85   101.39    33.71     89.3   115.52    40.53        0      9.5    58.58 
7       70.78    33.38    54.83    54.93    91.91    24.23    79.81   106.05    32.88      9.5        0    52.99 
8       30.34    27.18    58.87    33.71    81.83    46.87    71.95    85.27    23.62    58.58    52.99        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    67.53    39.52    31.59    66.87    49.11    69.92    48.86     34.8    90.06    92.85    40.08 
o2      44.69        0    91.81     42.8   101.75    56.27       97   132.14    22.64    29.39    32.21     25.3 
o3      63.72    68.51        0    30.92    37.51    45.83    24.42    57.03    47.47    77.42    56.47    55.46 
o4      19.76    41.86    23.49        0    64.76    34.81    42.35     78.4    34.69    93.43    81.46    47.54 
1       52.55    100.4    53.84     61.9        0    62.98    14.45       22    76.18      149    74.59   113.46 
2       50.13    60.15    34.62    38.89    66.11        0    45.67   117.84    32.93    32.07    28.23    47.44 
3       52.42    76.38    31.92    53.08    14.79    56.19        0    44.78    85.47    73.09    68.53    88.32 
4       84.91   117.86    79.92    73.59     18.6     78.1    36.09        0     94.3   105.15    152.9    111.6 
5       37.82    27.05     54.4    35.27    93.68    32.16    71.46    77.17        0    53.64    46.22    33.73 
6        75.9    47.74     59.1    54.56   105.22    48.57   115.65   165.53    50.64        0     8.55    65.06 
7       95.51    33.45    53.23    67.83    74.41    30.76    65.98   119.69    35.91    10.78        0    65.84 
8       45.47    24.38    84.65    43.44    73.92    63.72     70.7   109.88    27.62    57.93     57.8        0 
;

param d:       1    2    3    4 :=
1       0    0    0    7 
2       0    0   11    0 
3       0   17    5    0 
4       0   19    0    0 
5       0    0   14    0 
6      10    9   14    0 
7      14    0    0    0 
8       0    0    0   14 
;
