set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    53.73    33.66    12.39    52.42    33.25    46.93    28.03    38.17    44.09    56.11    26.36 
o2      53.73        0    81.87    65.91   105.93    26.02    96.99    39.45    86.57    93.88    16.97    58.41 
o3      33.66    81.87        0    28.16    31.32    65.87    49.24    61.67     47.2    12.17    87.85    55.63 
o4      12.39    65.91    28.16        0     40.9    44.12     35.5     36.3    27.87    36.28     67.2    27.49 
1       52.42   105.93    31.32     40.9        0    85.02    33.16    76.48    38.52    22.72    108.1    62.94 
2       33.25    26.02    65.87    44.12    85.02        0    72.02    13.48    61.37       77    23.08    32.41 
3       46.93    96.99    49.24     35.5    33.16    72.02        0    60.03    10.86    48.22    93.95    41.81 
4       28.03    39.45    61.67     36.3    76.48    13.48    60.03        0    49.22    71.71    33.92    19.19 
5       38.17    86.57     47.2    27.87    38.52    61.37    10.86    49.22        0    48.91    83.15    30.97 
6       44.09    93.88    12.17    36.28    22.72       77    48.22    71.71    48.91        0    99.33    63.34 
7       56.11    16.97    87.85     67.2    108.1    23.08    93.95    33.92    83.15    99.33        0    52.74 
8       26.36    58.41    55.63    27.49    62.94    32.41    41.81    19.19    30.97    63.34    52.74        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    66.05    42.14    18.07    58.73    45.03    45.36    29.69       45    50.56    81.43    26.28 
o2      59.99        0    118.1    89.34    89.74     23.1    84.43    33.67   115.05   124.02    20.19     84.3 
o3      43.63    93.08        0    27.56    34.88    91.03     59.3    91.98    39.18    11.43    84.25    78.66 
o4      10.22    84.62    34.77        0    32.78    56.75    37.27    50.39    28.09    53.07    58.05    35.34 
1       73.88   139.31    25.09    58.17        0    68.84    47.45   101.27    36.81    33.96   145.43    89.27 
2       43.83    26.15    71.82    40.13    76.97        0    88.33    11.56    67.66    84.13    22.54     48.4 
3       46.88   139.08    66.21    31.64    29.16    96.81        0    79.14    15.33    53.92     86.1    35.18 
4       23.59     44.6    90.56    33.91    84.57    13.92    70.07        0    51.86    61.73    28.98    18.87 
5       33.16    70.25    60.18    37.53    35.56    51.44     9.66    65.67        0    51.46   110.99     26.3 
6       42.33    87.15    11.73    40.22    18.88    80.66    66.71     78.6     52.4        0   133.14    94.39 
7       46.32    16.35    75.07    88.93   134.32    26.03    99.53    27.71   109.19   107.89        0     78.1 
8       23.37    68.01    68.52    34.88    84.55    48.42    52.94    26.97    33.18    58.15     55.4        0 
;

param d:       1    2    3    4 :=
1       0    0    0   13 
2       0    0   14    0 
3       0   11    0    0 
4       0    6    0    0 
5       0   11    0   16 
6       8    0   16    0 
7      17    0   11    0 
8       0    0    0   12 
;
