set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    15.62    43.55    32.51    58.98     62.1    32.34    36.14    64.81    31.47    46.83    37.06 
o2      15.62        0    33.22    46.22    52.23    61.48    43.54    21.04    65.85    18.94    31.25    32.83 
o3      43.55    33.22        0    60.73    21.49    40.24    52.63    21.21     47.1    14.81    33.76    16.59 
o4      32.51    46.22    60.73        0    66.39    56.56    10.46    63.22    55.24    54.94     76.5    46.28 
1       58.98    52.23    21.49    66.39        0    24.54    56.48     42.7    32.15    35.54    54.45     22.3 
2        62.1    61.48    40.24    56.56    24.54        0    46.13    59.72     7.62    50.19    73.66     29.3 
3       32.34    43.54    52.63    10.46    56.48    46.13        0    57.95    45.04     48.8    72.06    37.28 
4       36.14    21.04    21.21    63.22     42.7    59.72    57.95        0     65.9    10.34    14.99    31.48 
5       64.81    65.85     47.1    55.24    32.15     7.62    45.04     65.9        0    56.07    80.14    34.78 
6       31.47    18.94    14.81    54.94    35.54    50.19     48.8    10.34    56.07        0    25.32    21.39 
7       46.83    31.25    33.76     76.5    54.45    73.66    72.06    14.99    80.14    25.32        0    46.17 
8       37.06    32.83    16.59    46.28     22.3     29.3    37.28    31.48    34.78    21.39    46.17        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    17.94    51.51    39.03    58.87    51.98     31.1    34.38    91.91    43.08    45.87    42.54 
o2      20.52        0    34.54    59.71     62.3    59.07    49.57    27.52    65.28       16    29.62    41.74 
o3       60.3    43.55        0    84.15    24.02    48.71    60.65    28.42     67.6    18.99    46.58    18.91 
o4      31.43    49.49    74.15        0     78.5    72.21      9.6    83.78    82.84    58.28    83.11     49.5 
1       50.87     52.8    27.52    97.18        0    25.16    83.62     54.4    37.55    36.49     49.1    31.16 
2       83.24    80.29    55.86    69.06    27.34        0    37.52    82.13    11.01    47.61   101.55    26.16 
3       35.54     40.8    55.28    14.07    57.86    60.56        0     58.7    60.33     52.3    77.53    31.97 
4       37.12    19.41    22.07    56.16    39.11    64.95     62.3        0    57.52     9.43    15.27    33.94 
5       86.33    67.51    58.45    50.94    34.08     9.42    59.45    69.81        0    45.13    71.16     46.9 
6        29.5    28.33    19.99    44.16    36.62    56.59    65.31    12.24    75.39        0    29.15    30.13 
7       54.25    44.19    35.07    71.78    64.33    74.68    90.52    16.26    76.87     34.1        0     41.4 
8       35.14     30.7    22.23    37.32    23.55    40.14    49.85     45.8     35.6    30.38    52.63        0 
;

param d:       1    2    3    4 :=
1       0    6   17    6 
2      11    0   17    9 
3       0    0   16    0 
4       0    0   12    6 
5       0    0   19    0 
6       0    0    0   10 
7      18    0    0    0 
8       0    5    0    0 
;
