set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    60.85    31.79    29.61    37.86    53.92    63.27    12.19    49.27    72.54     74.1    31.05 
o2      60.85        0    92.46     32.1    65.39    25.18    22.64    71.67    77.46    74.23    24.18    29.93 
o3      31.79    92.46        0    60.68    50.79    82.63    92.47    21.04    55.64    86.64    103.8    62.53 
o4      29.61     32.1    60.68        0    38.92    26.29    34.65    39.74     52.3    61.61    44.89     3.63 
1       37.86    65.39    50.79    38.92        0     44.6    54.05    35.76    13.47    36.45    65.44    42.55 
2       53.92    25.18    82.63    26.29     44.6        0    10.01    61.83    55.09    49.07    21.63    27.19 
3       63.27    22.64    92.47    34.65    54.05    10.01        0     71.6    63.87    53.81    11.64    34.84 
4       12.19    71.67    21.04    39.74    35.76    61.83     71.6        0    44.73    72.11    82.86    41.75 
5       49.27    77.46    55.64     52.3    13.47    55.09    63.87    44.73        0    32.43    74.77    55.92 
6       72.54    74.23    86.64    61.61    36.45    49.07    53.81    72.11    32.43        0    61.56     64.8 
7        74.1    24.18    103.8    44.89    65.44    21.63    11.64    82.86    74.77    61.56        0    44.53 
8       31.05    29.93    62.53     3.63    42.55    27.19    34.84    41.75    55.92     64.8    44.53        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    86.03    43.73    43.44    37.54    71.39     74.6    13.92    63.95    90.39    84.92    32.77 
o2      82.84        0   107.48    40.72     97.9    36.67    20.29    85.88     90.4    63.98    19.71     39.4 
o3      26.08   109.59        0    61.99    70.29    96.17   111.28    27.24    45.86    85.33    92.48    67.46 
o4       43.8    41.59    66.43        0    37.83     28.2    46.99    59.53    54.61    73.91    45.82        3 
1       32.11    75.09    59.77    32.68        0    48.02    50.49    38.87    12.75    49.64     73.3    50.01 
2        43.9    28.49   106.88    27.58    64.28        0    10.89     73.4    63.88    40.83    27.43    21.89 
3       56.04    25.52     75.7    49.68    57.03     9.04        0    63.08    91.52    57.95     9.71    41.67 
4       12.23    85.81    28.45    47.46     46.4    82.65    98.02        0    49.69    67.28    80.69    50.61 
5       57.68   100.16    81.62    42.45    15.36    81.61    67.53    53.88        0    27.36    76.96    53.19 
6       68.46    69.15    76.49    62.81    46.42    50.46    56.23     81.4    43.39        0    59.22    86.71 
7      110.26    30.04   151.41    46.86     67.4    17.94    16.91   120.71   105.77    84.16        0    57.53 
8       39.54    31.95    53.79     5.15    60.92     22.9    35.33    39.84    60.94    95.48    47.38        0 
;

param d:       1    2    3    4 :=
1       5    0   14    0 
2      15   13    0    0 
3      18   18    0   10 
4       0    9    0    0 
5       8   17    0    8 
6       9    0    0    0 
7       9    8    7   12 
8       0    0    0    5 
;
