set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    42.61    35.17   115.97    67.57    20.25    90.88   122.71   104.42    82.16    48.47    97.46 
o2      42.61        0       20    74.24    25.88    27.13     51.8    82.11    65.12    40.82     37.2    55.83 
o3      35.17       20        0    83.36    43.72    29.88    70.62    88.86    70.06    49.89    19.52    65.06 
o4     115.97    74.24    83.36        0    54.73    101.2    53.63    12.54    19.79    33.83    83.58    18.51 
1       67.57    25.88    43.72    54.73        0    49.57    27.08     64.9    51.74    26.53    56.18    37.95 
2       20.25    27.13    29.88    101.2    49.57        0    71.29   109.24     92.1    67.93    48.48    82.86 
3       90.88     51.8    70.62    53.63    27.08    71.29        0    65.99    60.24    41.56    83.04     43.9 
4      122.71    82.11    88.86    12.54     64.9   109.24    65.99        0    19.41    41.33    86.39    27.06 
5      104.42    65.12    70.06    19.79    51.74     92.1    60.24    19.41        0    25.63    66.98    16.34 
6       82.16    40.82    49.89    33.83    26.53    67.93    41.56    41.33    25.63        0    53.03    15.32 
7       48.47     37.2    19.52    83.58    56.18    48.48    83.04    86.39    66.98    53.03        0    66.66 
8       97.46    55.83    65.06    18.51    37.95    82.86     43.9    27.06    16.34    15.32    66.66        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    49.82     40.4   122.12    84.52    19.54    75.74   103.98   119.38    87.99    57.92    81.95 
o2      39.65        0    24.76   105.45    28.48    24.89    76.98    69.54    93.07    60.65    33.39    59.47 
o3      49.53    19.19        0    78.78    52.23    28.21     75.3    113.7    65.38    74.31    23.02    62.77 
o4     107.89    76.87   122.04        0    66.18    81.61    49.11    12.63    24.16    36.57    96.15    21.55 
1       74.25    23.35    38.39    55.35        0    70.39     40.3     84.6    64.66    32.87    55.21    38.53 
2       16.62    33.37    26.25   125.71     48.5        0    69.59   114.17   102.64    65.85    47.45     93.9 
3      127.28    65.18   102.56    71.02    38.86    57.77        0    59.47    59.08    49.15    80.54    63.68 
4      113.57   109.24    98.32    18.49    54.89    159.7     71.8        0    28.32    36.29   118.22    33.52 
5       88.38     94.3    93.61    17.08    72.67    80.73    58.11    21.16        0    28.06   100.39    15.46 
6       71.29    46.43    60.45    32.39    28.38    99.02    53.21    42.03    37.49        0    45.81    12.58 
7       51.64    53.55    21.08    68.86     79.9    64.79    95.18   121.81    78.11    71.35        0    69.44 
8        96.9    67.86    56.55    21.04    41.85     70.8    47.29    38.15    14.41     22.1    61.65        0 
;

param d:       1    2    3    4 :=
1       0   18    0    0 
2       0   16    0    0 
3      16    0    0    0 
4       0    0    0    7 
5       0    0   18    0 
6       0    6   10    0 
7       0    0    0   12 
8       0    8    0    0 
;
