set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    46.64    55.92    76.49    20.02    56.19    58.63     51.3    12.08     1.04    77.14    84.26 
o2      46.64        0    27.96    30.67    26.62    73.14    61.84     23.5    49.88    45.88    59.09    42.06 
o3      55.92    27.96        0    45.97    40.17    97.14     88.3     5.26    52.73    55.62    86.92    61.81 
o4      76.49    30.67    45.97        0    56.59    89.61    73.37    44.42    80.52    75.65    56.55    16.66 
1       20.02    26.62    40.17    56.59        0    59.27    54.94    35.05     25.1    19.25    65.63    65.23 
2       56.19    73.14    97.14    89.61    59.27        0    19.38    91.89    68.15    55.49    49.94    86.48 
3       58.63    61.84     88.3    73.37    54.94    19.38        0     83.2    70.54    57.72    30.71    68.42 
4        51.3     23.5     5.26    44.42    35.05    91.89     83.2        0    48.79    50.95    82.59     59.7 
5       12.08    49.88    52.73    80.52     25.1    68.15    70.54    48.79        0    12.91    87.66    90.18 
6        1.04    45.88    55.62    75.65    19.25    55.49    57.72    50.95    12.91        0    76.11    83.32 
7       77.14    59.09    86.92    56.55    65.63    49.94    30.71    82.59    87.66    76.11        0    45.89 
8       84.26    42.06    61.81    16.66    65.23    86.48    68.42     59.7    90.18    83.32    45.89        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    37.74    54.74   108.89    26.45    70.74    74.17    73.62    11.04      1.3    98.18   115.87 
o2      53.44        0    36.49    43.38    35.41    84.45    58.81    25.96    64.31    60.68    52.44    40.95 
o3      49.43    40.44        0    42.55    40.06   128.49   112.67     5.01     71.1    67.49    72.77    72.29 
o4       78.3    42.02    60.76        0    45.47    111.4    72.71    50.33    93.73    96.87    50.53     15.9 
1       19.41    35.39    52.17    48.77        0    67.45     54.6    38.21    23.96    25.81    69.86    97.32 
2       49.63    77.66   140.36    117.8     81.3        0    22.83   102.48   101.86    75.25    59.55     78.5 
3       57.63    58.92   119.13    96.33    80.57    24.24        0    70.51    93.51    49.97    25.41    98.86 
4       66.54    31.61     7.19     39.4    45.09   127.93   117.62        0     69.6    58.67    90.32    85.08 
5       16.83    40.39    68.74   101.08    37.08    63.97     83.5    66.82        0    14.79    70.77     97.9 
6        0.89    58.99    66.32    77.92     19.7    53.31    71.65    55.12    14.05        0    76.73   111.88 
7       95.36     71.4    90.61    55.45    71.39    71.32    25.81   116.61    93.39    82.53        0     43.4 
8      122.18    50.22    90.33    20.17    96.14    81.82    83.33    57.78   124.84    76.86    47.41        0 
;

param d:       1    2    3    4 :=
1      11    0    0    0 
2       0   14    0    0 
3      13    0   16   14 
4       0    0   16    0 
5      10    0    0    0 
6      12   13   14    6 
7       0    0    0   19 
8       0    0    9    0 
;
