set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    16.06    46.85    66.68     70.2    78.68    41.12    78.25    62.19    52.47    51.27    33.35 
o2      16.06        0    45.77     51.1    60.81    62.95    38.43    66.15     47.5    39.26    35.32    45.75 
o3      46.85    45.77        0    80.53    35.94    89.12     7.94    51.37    82.22    39.91    64.34     39.6 
o4      66.68     51.1    80.53        0    69.56    12.28    72.92    61.42    10.34    44.36    16.88    95.87 
1        70.2    60.81    35.94    69.56        0    73.68    34.75    17.09    75.58    27.07    57.89    74.37 
2       78.68    62.95    89.12    12.28    73.68        0    81.79    62.99    20.75     50.8    27.91   107.14 
3       41.12    38.43     7.94    72.92    34.75    81.79        0    48.58    74.38    33.59    56.59    39.66 
4       78.25    66.15    51.37    61.42    17.09    62.99    48.58        0    69.16     27.2    53.33    87.92 
5       62.19     47.5    82.22    10.34    75.58    20.75    74.38    69.16        0    49.18     18.4    93.16 
6       52.47    39.26    39.91    44.36    27.07     50.8    33.59     27.2    49.18        0    31.08    68.28 
7       51.27    35.32    64.34    16.88    57.89    27.91    56.59    53.33     18.4    31.08        0    79.26 
8       33.35    45.75     39.6    95.87    74.37   107.14    39.66    87.92    93.16    68.28    79.26        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    15.93     49.1    71.49     68.7    68.04    44.92    71.99    66.58    49.43    68.83    28.02 
o2      19.42        0    54.22    76.29    56.29    60.01    40.23    74.85     54.7    41.65    39.56    67.23 
o3      42.97    58.74        0    93.73    53.51   113.52     9.55    70.74    90.77    45.64    93.68    37.61 
o4      85.02    58.03   116.96        0   103.52    17.06    68.94    81.08    10.63    64.59     22.5   137.19 
1       78.18    79.47    37.05    78.22        0     93.7    50.14     24.1   102.18    35.32    61.77    65.36 
2       96.67     93.8    84.41    12.78    93.27        0    81.14    67.38    28.38    61.61    41.66   103.96 
3       47.02    41.66     8.63    80.73    47.38   122.13        0    72.26    86.04    45.66    54.38    57.18 
4      113.65    81.77    66.03    70.27    20.56    59.84    49.69        0    92.29    38.61    74.68   121.34 
5       67.72    56.86    120.8     8.97    84.48    29.68   110.98    81.55        0    44.67    18.97   133.85 
6       64.12    57.77    55.16    66.27    30.44    61.25    39.52    25.83    62.67        0    41.47    65.67 
7       72.35     44.3       85       17    67.38    40.71    58.73    64.81     22.2    28.99        0    75.82 
8       31.46    59.68    59.38   116.98    69.19   149.82    54.45   105.42    99.89    61.38   114.42        0 
;

param d:       1    2    3    4 :=
1       0   15    0    0 
2      13    6    0   12 
3       0   13    0    0 
4       0    0    6    0 
5       0    0   12    0 
6       0    0   19    0 
7       0    0    0   14 
8       7   13   15    0 
;
